1059,TUBIFEX WORMS
1061,BEES
1072,TURTLES
1074,PIGS
1080,POULTRY
1081,BABY POULTRY
1082,HATCHING EGGS
1084,TURKEY HATCHING EGGS
1091,SNAILS
1093,WORMS
1100,"FURS, HIDES, SKINS EXCLUDING WEARING APPAREL"
1101,"HIDES, SKINS - UNDRESSED - FURS EXCLUDING MANUFACTURES, NUTRIA/REPTILE SKINS"
1102,FUR PLATES (MADE FROM SEWN SCRAPS)
1103,"FURS, FUR WEARING APPAREL, SKINS"
1125,"LAMB SKINS, KID SKINS, SHEEP SKINS, GOAT SKINS EXCLUDING WEARING APPAREL"
1150,FUR SCRAPS
1164,"CATTLE HIDES, SHEEP SKINS, GOAT SKINS"
1188,"CARACUL, ASTRAKHAN SKINS"
1190,REPTILE SKINS
1194,CROCODILE SKINS (WET/SALTED)
1195,"FURS, HIDES, SKINS EXCLUDING MINK, WEARING APPAREL"
1196,NUTRIA SKINS
1198,"LEATHER, HIDES AND SKINS - EXCLUDING FURS AND PELTS"
1200,"LEATHER, LEATHER PRODUCTS EXCLUDING WEARING APPAREL"
1201,"LEATHER, LEATHER PRODUCTS"
1204,"LEATHER (TANNED, DYED, FINISHED, SEMIFINISHED, CUT TO SHAPE)"
1205,LEATHER (UNMANUFACTURED)
1206,SHOE LEATHER (ALONE OR TOGETHER WITH OTHER SHOE MANUFACTURING MATERIALS)
1207,"LEATHER, HIDES, SKINS EXCLUDING WEARING APPAREL, FURS"
1210,"LEATHER, LEATHER PRODUCTS EXCLUDING SPORTING GOODS"
1211,"LEATHER, HIDES, SKINS - TANNED, PROCESSED -"
1213,"FURS, HIDES, SKINS - UNDRESSED/INCLUDING SEMIFINISHED MANUFACTURES -"
1214,"TANNED AND/OR PROCESSED LEATHER, SYNTHETIC LEATHER CUT TO SHAPE, INCLUDING FINISHED PRODUCTS AND ARTICLES MADE FROM THESE MATERIALS"
1215,"HIDES, SKINS - INCLUDING PRODUCTS THEREOF -"
1231,"HANDBAGS, POCKETBOOKS, WALLETS, PURSES"
1234,"HANDBAGS, BELTS - MADE OF LEATHER -"
1237,LEATHER (EXCLUDING NUTRIA SKINS/REPTILE SKINS/ MANUFACTURES)
1238,"BAGS, BALLS, BELTS, BILLFOLDS, HANDBAGS, SUITCASES,ATTACHE CASES, POCHETTES, PURSES, WALLETS, HARNESS,SADDLERY - MADE OF LEATHER -"
1251,"CAR SEAT COVERS, RUGS - MADE OF HIDE OR SHEEPSKIN -"
1295,"BAGS, BELTS, BILLFOLDS, BRUSHES, CASES, PURSES, WALLETS, WATCHBANDS/WATCH STRAPS - MADE PARTLY OF LEATHER/INCLUDING FRAMES, CLASPS, FASTENERS -, MANICURE SETS, MAKE-UP KITS, SHOESHINE KITS, TOILET KITS, SEWING KITS, BRUSH SETS, DRINKING KITS, FLASK KITS, FIRST AID KITS, SHAVING KITS EXCLUDING ELECTRICALLY OPERATED ARTICLES"
1352,GUM ARABIC
1353,FRANKINCENSE AND GUMS
1400,"FLORAL STOCK, NURSERY STOCK, BULBS, FLOWERS, SEEDS, TUBERS"
1401,"FLORAL STOCK, NURSERY STOCK, BULBS, SEEDS, PLANTS, FLOWERS"
1402,"FLORAL STOCK, NURSERY STOCK - EXCLUDING CUT FLOWERS - BULBS, SEEDS, TUBERS"
1403,"CUT FLOWERS, FOLIAGE, CUTTINGS"
1409,"BULBS, TUBERS"
1411,ROSE PETALS
1420,FLOWERS
1421,"CUT FLOWERS, FOLIAGE, INCLUDING MIMOSA"
1429,ORCHIDS
1430,CUT FLOWERS (EXCLUDING ORCHIDS)
1436,"CARNATION CUTTINGS, CHRYSANTHEMUM CUTTINGS, GLADIOLI"
1471,FERN
1472,YUCA CUTTINGS
1475,PLANTS
1476,PLANTS (EXCLUDING ORCHIDS)
1477,TROPICAL PLANTS (EXCLUDING CUT FLOWERS)
1479,"SEEDS, PLANTS"
1480,"TROPICAL PLANTS, SEEDS"
1485,SEEDS
1499,"FLOWERS, PLANTS"
1500,"HERBS, LEAVES - INCLUDING PRODUCTS THEREOF -"
1503,HENNA (DRIED)
1526,PEPPER STEMS
1535,BETEL LEAVES
1550,"TOBACCO, TOBACCO PRODUCTS"
1563,"CIGARETTES, CIGARS AND/OR TOBACCO"
1700,"OILS (ANIMAL, VEGETABLE)"
1701,OLIVE OIL
1716,ESSENTIAL OILS
1728,OIL COMPOUNDS (FOR PAINT)
1904,BEESWAX
1915,BRISTLES
1923,STOMACH (DRIED)
1925,"CASINGS (MADE OF ANIMAL INTESTINES, GUT)"
1931,GLANDS (ANIMAL)
1950,"FEATHERS, FEATHER TRIMMINGS"
1951,FEATHERS (OSTRICH)
1970,"SEA-FLORA, SHELLS"
1980,SPONGES (NATURAL)
1981,SPONGES (ARTIFICIAL)
1983,CORAL
1993,ANIMAL HUNTING TROPHIES (EXCLUDING IVORY)
2001,"YARN, THREAD, FIBRES, TEXTILE MANUFACTURES"
2002,"YARN, THREAD, FIBRES"
2020,"COTTON, YARN, THREAD"
2090,"WOOL, YARN, THREAD"
2102,"CLOTH (NOT FURTHER PROCESSED OR MANUFACTURED/EXCLUSIVELY IN BALES, BOLTS, PIECES)"
2104,"VISCOSE CLOTH (NOT FURTHER PROCESSED OR MANUFACTURED/EXCLUSIVELY IN BALES, BOLTS, PIECES)"
2144,"PLASTIC COATED FABRICS (NOT FURTHER PROCESSED OR MANUFACTURED/EXCLUSIVELY IN BALES, BOLTS, PIECES)"
2162,PIECE GOODS (MADE OF NYLON)
2183,BATIK TEXTILES
2189,"SHEEP SKIN COATS, OVERCOATS, HATS, SLIPPERS, - HANDMADE -"
2192,"A: YARN, THREAD, FIBRES, CLOTH TEXTILE FABRICS, DRAWNWORK, NEEDLEWORK, EMBROIDERIES, TULLE, LACE - NOT FURTHER PROCESSED OR MANUFACTURED/ EXCLUSIVELY IN BALES, BOLTS, PIECES -
B: BED SHEETS, PILLOW CASES, BLANKETS, TABLE LINEN, CURTAINS, CARPETING, BRAIDS, CLOTH LABELS, ENDLESS BELTS, HANDKERCHIEFS, HAT BODIES, LACING, RIBBONS, TOWELS, WASHCLOTHS, BATHMATS, TOILET SEAT COVERS, TRIMMINGS, WEBBING, SHOULDER PADS - MADE OF TEXTILES - EXCLUDING WEARING APPAREL"
2194,"YARN, THREAD, TEXTILE MANUFACTURES, WEARING APPAREL EXCLUDING FOOTWEAR, LEATHER MANUFACTURES"
