ZZD_Code;ZZD_Description;ZZD_StartDate;ZZD_EndDate
CNV;Contenedores vacíos;01-01-2019;31-12-2099
DH7;Declaración H7 de importación de mercancía de bajo valor;01-01-2019;31-12-2099
ENV;Número de envío de mercancía de bajo valor;01-01-2019;31-12-2099
N337;Declaración de Depósito Temporal (G4 o Sumaria de Descarga);01-01-2019;31-12-2099
T2L;Mercancía comunitaria que transborde en un tercer país;01-01-2019;31-12-2099
XSUA;Sumaria de Descarga Aérea;01-01-2019;31-12-2099
XSUM;Sumaria de descarga marítima;01-01-2019;31-12-2099
ZEZF;Entrada en Zona o Depósito Franco;01-01-2019;31-12-2099
ZIRR;Entrada Irregular;01-01-2019;31-12-2099
