ZZD_Code;ZZD_Description;ZZD_StartDate;ZZD_EndDate
N380;Factura comercial;01-01-2000;
N325;Factura proforma;01-01-2000;
1230;Justificante de pago;01-01-2000;
1003;Declaración de valor;01-01-2000;
1315;Declaración del OEA de que NO PROCEDE certificación RD 330/2008 por ser un envío de hasta 5 unidades y con destino a un particular;01-01-2000;
1316;Declaración del operador de que NO PROCEDE certificación RD 330/2008 por ser un envío de hasta a 5 unidades y con destino a un particular;01-01-2000;
1317;Declaración del OEA de que la operación está exenta de control sistemático (y de certificación RD 330/2008 ) por ser un envío de hasta 5 unidades y con destino a un particular;01-01-2000;
1014;Autorización esporádica IOSS;01-01-2000;
1018;Autorización despacho (H7);01-01-2000;
