,Y,Y107,Heavy Oil - Fuel Oil used for purposes other than generating electricityl - Carbon,Heavy Oil,Fuel oil,
,Y,Y108,Heavy Oil - Fuel Oil used for purposes of generating electricityl - Carbon,Heavy Oil,Fuel oil,
,Y,Y109,Heavy Oil - Other Heavy Oil including Marked Gas Oill - Carbon,Heavy Oil,Other heavy oil (including MGO),
,Y,Y110,Liquefied Petroleum Gas - Used as a propellantl - Carbon,Liquified Petroleum Gas,Used as a propellant,
,Y,Y111,Liquefied Petroleum Gas - Other LPGl - Carbon,Liquified Petroleum Gas,Other liquefied petroleum gas,
,Y,Y112,Substitute Fuel - Used as a propellant instead of petrol - Carbon,Substitute Fuel,Used as a propellant instead of petrol,
,Y,Y113,Substitute Fuel - Used as a propellant instead of diesel - Carbon,Substitute Fuel,Used as a propellant instead of diesel,
,Y,Y114,Substitute Fuel - Used for other than as a propellantl - Carbon,Substitute Fuel,Used other than as a propellant,
constant,Y,Y115,Mineral Oil Tax - Other - Carbon,,,0
constant,Y,YNTA,No Carbon Tax applies,,,0
