AirlineID,ProductCode,ProductDescription,CommodityCode,CommodityDescription,SpecialHandlingCodes
176,GCR,General Airfreight,2001,"YARN,THREAD,FIBRES, TEXTILE MANUFACTURES"
176,GCR,General Airfreight,2002,"YARN, THREAD, FIBRES"
176,GCR,General Airfreight,2020,"COTTON, YARN, THREAD"
176,GCR,General Airfreight,2041,"THREAD, CORD - MADE OF RUBBER, TEXTILE COVERED"
176,GCR,General Airfreight,2075,*****SILK YARN
176,GCR,General Airfreight,2090,"WOOL, YARN, THREAD"
176,GCR,General Airfreight,2102,CLOTH NOT FURTHER PROCESSSED OR MANUFACTURED/EXCLUS. BALES/B
176,GCR,General Airfreight,2103,"*****CLOTH EXCLSVLY IN BALES,BOLTS OR PIECES NOT FRTH PRCSSD"
176,GCR,General Airfreight,2104,"VISCOSE CLOTH NOT FRTHR PRCSSD/MFD/EXCLSVLY IN BALES,BOLTS,P"
176,GCR,General Airfreight,2144,PLASTIC COATED FABRICS NOT FRTHR PRCSSD/MFD/EXCLSVLY IN BALE
176,GCR,General Airfreight,2162,PIECE GOODS  MADE OF NYLON 
176,GCR,General Airfreight,2175,*****SILK ART/SILK MANUFACTURES
176,GCR,General Airfreight,2183,*****BATIK TEXTILES
176,GCR,General Airfreight,2185,FELT  PAPER MAKERS 
176,GCR,General Airfreight,2186,FELT CLOTH
176,GCR,General Airfreight,2189,"SHEEP SKIN COATS,OVERCOATS,HATS,SLIPPERS-HANDMADE"
176,GCR,General Airfreight,2192,"YARN,THREAD,FIBERS IN BALES/BOLTS/PCS AND BEDSHEETS ETC MADE O"
176,GCR,General Airfreight,2194,"YARN,THREAD,TEXTILE MFRS,WARING APPARAL EXCL FOOTWEAR, LEATH"
176,GCR,General Airfreight,2195,"YARN,THREAD,FIBRES,CLOTH,WEARING APPAREL,TEXTILE MFRS"
176,GCR,General Airfreight,2196,"*****YARN,THREAD,FIBRES IN BALES EXCL CLOTHING,FOOTWEAR,OUTW"
176,GCR,General Airfreight,2197,"YARN,THREAD,FIBRES,CLOTH-NOT FURTHER PROCESSED OR MANUFACTUR"
176,GCR,General Airfreight,2198,"YARN,THREAD,FIBRE,TEXTILE,EXCL.WEARING A"
176,GCR,General Airfreight,2199,"WEARING APPAREL, TEXTILE MANUFACTURES, YARN, THREAD"
176,GCR,General Airfreight,2200,WEARING APPAREL
176,GCR,General Airfreight,2201,*****CLOTHING AND WEARING APPAREL
176,GCR,General Airfreight,2203,WEARING APP EXCL UMBRELLAS/BILLFOLDS/PURSES/CARRYING CASES/J
176,GCR,General Airfreight,2204,*****CLOTHING AND WEARING APP EXCL.LEATHER MANUFACTURES
176,GCR,General Airfreight,2205,"EYELETS,PRESS FASTENERS,RIVETS, ELECTRIC ATTACHING MACHINE"
176,GCR,General Airfreight,2206,"WEARING APPAREL,SHOE LACES,HOOKS EXCL FURS SKINS,BILLFOLDS"
176,GCR,General Airfreight,2207,"WEARING APPAREL,SHOE LACES,HOOKS EXCL FOOTWEAR,FURS,SKINS,CA"
176,GCR,General Airfreight,2211,"YARN,THREAD,FIBRES-NOT FRTHR PRCSSD/MFG-EXCLSVLY IN BALES/PC"
176,GCR,General Airfreight,2214,"TROUSERS, SHIRTS"
176,GCR,General Airfreight,2215,"CLOTH,LADIES CUT DRESSES,SEMI-FINISHED CLOTHIN INCL DRESSMAK"
176,GCR,General Airfreight,2218,"DRESSES  LADIES, FINISHED "
176,GCR,General Airfreight,2222,"TERRY CLOTH, TERRY ARTICLES"
176,GCR,General Airfreight,2234,WEARING APPAREL  FUR/LEATHER 
176,GCR,General Airfreight,2243,"OVERCOATS,JACKETS,SKIRTS,SHIRTS,WAISTCOATS,TROUSERS-LEATHER"
176,GCR,General Airfreight,2244,"ELASTIC, ELASTIC MANUFACTURES"
176,GCR,General Airfreight,2245,WEARING APPAREL  MADE OF LEATH EXCL FOOTWEAR 
176,GCR,General Airfreight,2259,SEMI FINISHED CLOTHING
176,GCR,General Airfreight,2292,"BLOUSES,JACKETS,JEAN,SKIRT,TROUSER,WAISTCOAT-MADE OF COTTON"
176,GCR,General Airfreight,2305,"BODY SUPPORTING GARMENTS,SWIMWEAR"
176,GCR,General Airfreight,2306,"CORSETS, GIRDLES, BRASSIERES"
176,GCR,General Airfreight,2309,CHILDRENS WEARING APPAREL
176,GCR,General Airfreight,2310,"DRESSES, SKIRTS, BLOUSES"
176,GCR,General Airfreight,2311,"WEARING APPAREL, TEXTILES MFRS - ON HANGERS          "
176,GCR,General Airfreight,2332,"GLOVES, MITTENS"
176,GCR,General Airfreight,2349,JACKETS
