unid,var,nameADR,qdtADR,ccodeADR,classADR,labelADR,pgADR,lqADR,sprovADR,eqADR,piADR,mixpADR,ppADR,tiADR,adrtADR,tpADR,adrtpADR,tankvADR,tcatADR,pprovADR,bprovADR,lprovADR,oprovADR,hinADR
4,a,AMMONIUM PICRATE,"dry or wetted with less than 10% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
4,b,AMMONIUM PICRATE,"dry or wetted with less than 10% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
4,c,AMMONIUM PICRATE,"dry or wetted with less than 10% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
5,,CARTRIDGES FOR WEAPONS,with bursting charge,1.1F,1,1,,0,,E0,P130 LP101,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
6,,CARTRIDGES FOR WEAPONS,with bursting charge,1.1E,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
7,,CARTRIDGES FOR WEAPONS,with bursting charge,1.2F,1,1,,0,,E0,P130 LP101,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
9,,"AMMUNITION, INCENDIARY","with or without burster, expelling charge or propelling charge",1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
10,,"AMMUNITION, INCENDIARY","with or without burster, expelling charge or propelling charge",1.3G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
12,a,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
12,b,"CARTRIDGES, SMALL ARMS",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
14,a,"CARTRIDGES FOR WEAPONS, BLANK",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
14,b,"CARTRIDGES, SMALL ARMS, BLANK",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
14,c,"CARTRIDGES FOR TOOLS, BLANK",,1.4S,1,1.4,,5 kg,364,E0,P130 LP101,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
15,a,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing corrosive substances",1.2G,1,1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
15,b,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing toxic substances",1.2G,1,1+6.1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
15,c,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge",1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
16,a,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing corrosive substances",1.3G,1,1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
16,b,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing toxic substances",1.3G,1,1+6.1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
16,c,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge",1.3G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3 CV28,S1,
18,,"AMMUNITION, TEAR-PRODUCING","with burster, expelling charge or propelling charge",1.2G,1,1+6.1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
19,,"AMMUNITION, TEAR-PRODUCING","with burster, expelling charge or propelling charge",1.3G,1,1+6.1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3 CV28,S1,
20,,"AMMUNITION, TOXIC","with burster, expelling charge or propelling charge",1.2K,1,,,,,,,,,,Carriage prohibited,,,,,,,,,
21,,"AMMUNITION, TOXIC","with burster, expelling charge or propelling charge",1.3K,1,,,,,,,,,,Carriage prohibited,,,,,,,,,
27,a,BLACK POWDER,"granular, or as a meal",1.1D,1,1,,0,,E0,P113,MP20 MP24,PP50,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
27,b,GUNPOWDER,"granular, or as a meal",1.1D,1,1,,0,,E0,P113,MP20 MP24,PP50,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
28,a,"BLACK POWDER, COMPRESSED",,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
28,b,BLACK POWDER IN PELLETS,,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
28,c,"GUNPOWDER, COMPRESSED",,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
28,d,GUNPOWDER IN PELLETS,,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
29,,"DETONATORS, NON-ELECTRIC",for blasting,1.1B,1,1,,0,,E0,P131,MP23,PP68,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
30,,"DETONATORS, ELECTRIC",for blasting,1.1B,1,1,,0,,E0,P131,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
33,,BOMBS,with bursting charge,1.1F,1,1,,0,,E0,P130 LP101,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
34,,BOMBS,with bursting charge,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
35,,BOMBS,with bursting charge,1.2D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
37,,"BOMBS, PHOTO-FLASH",,1.1F,1,1,,0,,E0,P130 LP101,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
38,,"BOMBS, PHOTO-FLASH",,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
39,,"BOMBS, PHOTO-FLASH",,1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
42,a,BOOSTERS,without detonator,1.1D,1,1,,0,,E0,P132(a),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
42,b,BOOSTERS,without detonator,1.1D,1,1,,0,,E0,P132(b),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
43,,BURSTERS,explosive,1.1D,1,1,,0,,E0,P133,MP21,PP69,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
44,,"PRIMERS, CAP TYPE",,1.4S,1,1.4,,0,,E0,P133,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
48,,"CHARGES, DEMOLITION",,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
49,,"CARTRIDGES, FLASH",,1.1G,1,1,,0,,E0,P135,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
50,,"CARTRIDGES, FLASH",,1.3G,1,1,,0,,E0,P135,MP23,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
54,,"CARTRIDGES, SIGNAL",,1.3G,1,1,,0,,E0,P135,MP23 MP24,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
55,,"CASES, CARTRIDGE, EMPTY, WITH PRIMER",,1.4S,1,1.4,,5 kg,364,E0,P136,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
56,,"CHARGES, DEPTH",,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
59,,"CHARGES, SHAPED",without detonator,1.1D,1,1,,0,,E0,P137,MP21,PP70,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
60,a,"CHARGES, SUPPLEMENTARY, EXPLOSIVE",,1.1D,1,1,,0,,E0,P132(a),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
60,b,"CHARGES, SUPPLEMENTARY, EXPLOSIVE",,1.1D,1,1,,0,,E0,P132(b),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
65,,"CORD, DETONATING",flexible,1.1D,1,1,,0,,E0,P139,MP21,PP71 PP72,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
66,,"CORD, IGNITER",,1.4G,1,1.4,,0,,E0,P140,MP23,,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
70,,"CUTTERS, CABLE, EXPLOSIVE",,1.4S,1,1.4,,0,,E0,P134 LP102,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
72,a,"CYCLOTRIMETHYLENETRINITRAMINE, WETTED","with not less than 15% water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
72,b,"CYCLONITE, WETTED","with not less than 15% water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
72,c,"RDX, WETTED","with not less than 15% water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
72,d,"HEXOGEN, WETTED","with not less than 15% water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
73,,DETONATORS FOR AMMUNITION,,1.1B,1,1,,0,,E0,P133,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
74,,"DIAZODINITROPHENOL, WETTED","with not less than 40% water or mixture of alcohol and water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
75,,"DIETHYLENEGLYCOL DINITRATE, DESENSITIZED","with not less than 25% non-volatile water-insoluble phlegmatizer, by mass",1.1D,1,1,,0,266,E0,P115,MP20,PP53 PP54 PP57 PP58,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
76,a,DINITROPHENOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1+6.1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3 CV28,S1,
76,b,DINITROPHENOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1+6.1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3 CV28,S1,
76,c,DINITROPHENOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1+6.1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3 CV28,S1,
77,a,DINITROPHENOLATES,"alkali metals, dry or wetted with less than 15% water, by mass",1.3C,1,1+6.1,,0,,E0,P114(a),MP20,PP26,,,,,,1 (C5000D),V2 V3,,CV1 CV2 CV3 CV28,S1,
77,b,DINITROPHENOLATES,"alkali metals, dry or wetted with less than 15% water, by mass",1.3C,1,1+6.1,,0,,E0,P114(b),MP20,PP26,,,,,,1 (C5000D),V2 V3,,CV1 CV2 CV3 CV28,S1,
78,a,DINITRORESORCINOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
78,b,DINITRORESORCINOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
78,c,DINITRORESORCINOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
79,a,HEXANITRODIPHENYLAMINE,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
79,b,HEXANITRODIPHENYLAMINE,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
79,c,DIPICRYLAMINE,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
79,d,DIPICRYLAMINE,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
79,e,HEXYL,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
79,f,HEXYL,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
81,a,"EXPLOSIVE, BLASTING, TYPE A",,1.1D,1,1,,0,616 617,E0,P116,MP20,PP63 PP66,,,,,,1 (a)(B1000C),V2 V3,,CV1 CV2 CV3,S1,
81,b,"EXPLOSIVE, BLASTING, TYPE A",,1.1D,1,1,,0,616 617,E0,P116,MP20,PP63 PP66,,,,,,1 (a)(B1000C),V2 V3,,CV1 CV2 CV3,S1,
82,a,"EXPLOSIVE, BLASTING, TYPE B",,1.1D,1,1,,0,617,E0,P116 IBC100,MP20,PP61 PP62 B9,,,,,,1 (a)(B1000C),V2 V3 V12,,CV1 CV2 CV3,S1,
82,b,"EXPLOSIVE, BLASTING, TYPE B",,1.1D,1,1,,0,617,E0,P116 IBC100,MP20,PP61 PP62 B9,,,,,,1 (a)(B1000C),V2 V3 V12,,CV1 CV2 CV3,S1,
83,,"EXPLOSIVE, BLASTING, TYPE C",,1.1D,1,1,,0,267 617,E0,P116,MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
84,,"EXPLOSIVE, BLASTING, TYPE D",,1.1D,1,1,,0,617,E0,P116,MP20,,,,,,,1 (a)(B1000C),V2,,CV1 CV2 CV3,S1,
92,,"FLARES, SURFACE",,1.3G,1,1,,0,,E0,P135,MP23,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
93,,"FLARES, AERIAL",,1.3G,1,1,,0,,E0,P135,MP23,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
94,,FLASH POWDER,,1.1G,1,1,,0,,E0,P113,MP20,PP49,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
99,,"FRACTURING DEVICES, EXPLOSIVE","without detonator, for oil wells",1.1D,1,1,,0,,E0,P134 LP102,MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
101,,"FUSE, NON-DETONATING",,1.3G,1,1,,0,,E0,P140,MP23,PP74 PP75,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
102,a,"CORD, DETONATING",metal clad,1.2D,1,1,,0,,E0,P139,MP21,PP71,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
102,b,"FUSE, DETONATING",metal clad,1.2D,1,1,,0,,E0,P139,MP21,PP71,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
103,,"FUSE, IGNITER","tubular, metal clad",1.4G,1,1.4,,0,,E0,P140,MP23,,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
104,a,"CORD, DETONATING, MILD EFFECT",metal clad,1.4D,1,1.4,,0,,E0,P139,MP21,PP71,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
104,b,"FUSE, DETONATING, MILD EFFECT",metal clad,1.4D,1,1.4,,0,,E0,P139,MP21,PP71,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
105,,"FUSE, SAFETY",,1.4S,1,1.4,,0,,E0,P140,MP23,PP73,,,,,,4 (E),,,CV1 CV2 CV3,S1,
106,,"FUZES, DETONATING",,1.1B,1,1,,0,,E0,P141,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
107,,"FUZES, DETONATING",,1.2B,1,1,,0,,E0,P141,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
110,,"GRENADES, PRACTICE",hand or rifle,1.4S,1,1.4,,0,,E0,P141,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
113,,"GUANYL NITROSAMINOGUANYLIDENE HYDRAZINE, WETTED","with not less than 30% water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
114,a,"GUANYL NITROSAMINOGUANYLTETRAZENE, WETTED","with not less than 30% water, or mixture of alcohol and water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
114,b,"TETRAZENE, WETTED","with not less than 30% water, or mixture of alcohol and water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
118,a,HEXOLITE,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
118,b,HEXOLITE,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
118,c,HEXOLITE,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
118,d,HEXOTOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
118,e,HEXOTOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
118,f,HEXOTOL,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
121,,IGNITERS,,1.1G,1,1,,0,,E0,P142,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
124,,"JET PERFORATING GUNS, CHARGED","oil well, without detonator",1.1D,1,1,,0,,E0,P101,MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
129,,"LEAD AZIDE, WETTED","with not less than 20% water, or mixture of alcohol and water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
130,a,"LEAD STYPHNATE, WETTED","with not less than 20% water, or mixture of alcohol and water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
130,b,"LEAD TRINITRORESORCINATE, WETTED","with not less than 20% water, or mixture of alcohol and water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
131,,"LIGHTERS, FUSE",,1.4S,1,1.4,,0,,E0,P142,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
132,,"DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES, N.O.S.",,1.3C,1,1,,0,274,E0,P114(b),MP2,PP26,,,,,,1 (C5000D),V2 V3,,CV1 CV2 CV3,S1,
133,a,"MANNITOL HEXANITRATE, WETTED","with not less than 40% water, or mixture of alcohol and water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
133,b,"NITROMANNITE, WETTED","with not less than 40% water, or mixture of alcohol and water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
135,,"MERCURY FULMINATE, WETTED","with not less than 20% water, or mixture of alcohol and water, by mass",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
136,,MINES,with bursting charge,1.1F,1,1,,0,,E0,P130 LP101,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
137,,MINES,with bursting charge,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
138,,MINES,with bursting charge,1.2D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
143,a,"NITROGLYCERIN, DESENSITIZED","with not less than 40% non-volatile water-insoluble phlegmatizer, by mass",1.1D,1,1+6.1,,0,266 271,E0,P115,MP20,PP53 PP54 PP57 PP58,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
143,b,"NITROGLYCERIN, DESENSITIZED","with not less than 40% non-volatile water-insoluble phlegmatizer, by mass",1.1D,1,1+6.1,,0,266 271,E0,P115,MP20,PP53 PP54 PP57 PP58,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
144,,NITROGLYCERIN SOLUTION IN ALCOHOL,with more than 1% but not more than 10% nitroglycerin,1.1D,1,1,,0,358,E0,P115,MP20,PP45 PP55 PP56 PP59 PP60,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
146,a,NITROSTARCH,"dry or wetted, with less than 20% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
146,b,NITROSTARCH,"dry or wetted, with less than 20% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
146,c,NITROSTARCH,"dry or wetted, with less than 20% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
147,,NITRO UREA,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
150,a,"PENTAERYTHRITE TETRANITRATE, WETTED","with not less than 25% water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
150,b,"PENTAERYTHRITOL TETRANITRATE, WETTED","with not less than 25% water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
150,c,"PETN, WETTED","with not less than 25% water, by mass",1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
150,d,"PENTAERYTHRITE TETRANITRATE, DESENSITIZED","with not less than 15% phlegmatizer, by mass",1.1D,1,1,,0,266,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
150,e,"PENTAERYTHRITOL TETRANITRATE, DESENSITIZED","with not less than 15% phlegmatizer, by mass",1.1D,1,1,,0,266,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
150,f,"PETN, DESENSITIZED","with not less than 15% phlegmatizer, by mass",1.1D,1,1,,0,266,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
151,a,PENTOLITE,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
151,b,PENTOLITE,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
151,c,PENTOLITE,"dry or wetted with less than 15% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
153,a,TRINITROANILINE,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
153,b,TRINITROANILINE,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
153,c,PICRAMIDE,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
153,d,PICRAMIDE,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
154,a,TRINITROPHENOL,"dry or wetted with less than 30% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
154,b,TRINITROPHENOL,"dry or wetted with less than 30% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
154,c,TRINITROPHENOL,"dry or wetted with less than 30% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
154,d,PICRIC ACID,"dry or wetted with less than 30% water, by mass",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
154,e,PICRIC ACID,"dry or wetted with less than 30% water, by mass",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
154,f,PICRIC ACID,"dry or wetted with less than 30% water, by mass",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
155,a,TRINITROCHLOROBENZENE,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
155,b,TRINITROCHLOROBENZENE,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
155,c,PICRYL CHLORIDE,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
155,d,PICRYL CHLORIDE,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
159,a,"POWDER CAKE, WETTED","with not less than 25% water, by mass",1.3C,1,1,,0,266,E0,P111,MP20,PP43,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
159,b,"POWDER PASTE, WETTED","with not less than 25% water, by mass",1.3C,1,1,,0,266,E0,P111,MP20,PP43,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
160,,"POWDER, SMOKELESS",,1.1C,1,1,,0,,E0,P114(b),MP20 MP24,PP50 PP52,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
