unid,var,nameADR,qdtADR,ccodeADR,classADR,labelADR,pgADR,lqADR,sprovADR,eqADR,piADR,mixpADR,ppADR,tiADR,adrtADR,tpADR,adrtpADR,tankvADR,tcatADR,pprovADR,bprovADR,lprovADR,oprovADR,hinADR
3143,e,"DYE, SOLID, TOXIC, N.O.S.",,T2,6.1,6.1,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAH L4BH,TP33,TU15 TE19,AT,2 (E),,VC1 VC2 AP7,CV13 CV28,S9,60
3143,f,"DYE INTERMEDIATE, SOLID, TOXIC, N.O.S.",,T2,6.1,6.1,III,5 kg,274,E1,P002 IBC08 LP02 R001,MP10,B3,T1,SGAH L4BH,TP33,TU15 TE19,AT,2 (E),,VC1 VC2 AP7,CV13 CV28,S9,60
3144,a,"NICOTINE COMPOUND, LIQUID, N.O.S.",,T1,6.1,6.1,I,0,43 274,E5,P001,MP8 MP17,,,L10CH,,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,66
3144,b,"NICOTINE PREPARATION, LIQUID, N.O.S.",,T1,6.1,6.1,I,0,43 274,E5,P001,MP8 MP17,,,L10CH,,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,66
3144,c,"NICOTINE COMPOUND, LIQUID, N.O.S.",,T1,6.1,6.1,II,100 mL,43 274,E4,P001 IBC02,MP15,,,L4BH,,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
3144,d,"NICOTINE PREPARATION, LIQUID, N.O.S.",,T1,6.1,6.1,II,100 mL,43 274,E4,P001 IBC02,MP15,,,L4BH,,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,60
3144,e,"NICOTINE COMPOUND, LIQUID, N.O.S.",,T1,6.1,6.1,III,5 L,43 274,E1,P001 IBC03 LP01 R001,MP19,,,L4BH,,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
3144,f,"NICOTINE PREPARATION, LIQUID, N.O.S.",,T1,6.1,6.1,III,5 L,43 274,E1,P001 IBC03 LP01 R001,MP19,,,L4BH,,TU15 TE19,AT,2 (E),V12,,CV13 CV28,S9,60
3145,a,"ALKYLPHENOLS, LIQUID, N.O.S.",(including C2-C12 homologues),C3,8,8,I,0,,E0,P001,MP8 MP17,,T14,L10BH,TP2,,AT,1 (E),,,,S20,88
3145,b,"ALKYLPHENOLS, LIQUID, N.O.S.",(including C2-C12 homologues),C3,8,8,II,1 L,,E2,P001 IBC02,MP15,,T11,L4BN,TP2 TP27,,AT,2 (E),,,,,80
