"1001","Acetylene, dissolved",0,0,0,"","","2.1","","Flamm. gas","","Forbidden","Forbidden","Forbidden","Forbidden","200","15 kg","A1","10L","ACETYLENEDISSOLVED21","Acetylene, dissolved","","E0","RFG","","","AUG-01;BRG-04;CAG-07;HRG-03;IRG-03;KPG-02;MOG-02;NLG-01;OMG-01;USG-03;VEG-01",5601
"","Acetylene (liquefied)",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","ACETYLENELIQUEFIED","","","","","","","",5611
"","Acetylene silver nitrate",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","ACETYLENESILVERNITRATE","","","","","","","",36031
"3374","Acetylene, solvent free",0,0,0,"","","2.1","","Flamm. gas","","Forbidden","Forbidden","Forbidden","Forbidden","200","15 kg","A1","10L","ACETYLENESOLVENTFREE21","Acetylene, solvent free","","E0","RFG","","","AUG-01;BRG-04;CAG-07;HRG-03;IRG-03;KPG-02;MOG-02;NLG-01;OMG-01;USG-03;VEG-01",46581
"","Acetylene tetrabromide",0,0,0,"","Tetrabromoethane (UN2504)","","","","","","","","","","","","","ACETYLENETETRABROMIDE","","","","","","","",25771
"","Acetylene tetrachloride",0,0,0,"","1,1,2,2-Tetrachloroethane (UN1702)","","","","","","","","","","","","","ACETYLENETETRACHLORIDE","","","","","","","",15911
"1898","Acetyl iodide",0,0,0,"","","8","","Corrosive;Package orientation","II","Y840","0.5 L","851","1 L","855","30 L","","8L","ACETYLIODIDE8","Acetyl iodide","","E2","RCM","","","",18741
"2621","Acetyl methyl carbinol",0,0,0,"","","3","","Flamm. liquid;Package orientation","III","Y344","10 L","355","60 L","366","220 L","","3L","ACETYLMETHYLCARBINOL3","Acetyl methyl carbinol","","E1","RFL","","","",27251
"","Acetyl oxide",0,0,0,"","Acetic anhydride (UN1715)","","","","","","","","","","","","","ACETYLOXIDE","","","","","","","",16061
"","Acid butyl phosphate",0,0,0,"","Butyl acid phosphate (UN1718)","","","","","","","","","","","","","ACIDBUTYLPHOSPHATE","","","","","","","",16101
"","Acid, liquid",1,0,0,"","Corrosive liquid, acidic, inorganic (UN3264);Corrosive liquid, acidic, organic (UN3265)","","","","","","","","","","","","","ACIDLIQUID","","","","","","","",35261
"","Acid mixture, hydrofluoric and sulphuric",0,0,0,"","Hydrofluoric acid and sulphuric acid mixture (UN1786)","","","","","","","","","","","","","ACIDMIXTUREHYDROFLUORICANDSULPHURIC","","","","","","","",17151
"","Acid mixture, nitrating acid",0,0,0,"","Nitrating acid mixture (UN1796)","","","","","","","","","","","","","ACIDMIXTURENITRATINGACID","","","","","","","",17401
"","Acid mixture, spent, nitrating acid",0,0,0,"","Nitrating acid mixture, spent (UN1826)","","","","","","","","","","","","","ACIDMIXTURESPENTNITRATINGACID","","","","","","","",17881
"","Acid, picric",0,0,0,"","Picric acid (UN0154);Trinitrophenol (UN0154)","","","","","","","","","","","","","ACIDPICRIC","","","","","","","",1821
"","Acid potassium sulphate",0,0,0,"","Potassium hydrogen sulphate (UN2509)","","","","","","","","","","","","","ACIDPOTASSIUMSULPHATE","","","","","","","",25841
"","Acid, sludge",0,0,0,"","Sludge acid (UN1906)","","","","","","","","","","","","","ACIDSLUDGE","","","","","","","",18801
"","Acraldehyde, stabilized",0,0,0,"","Acrolein, stabilized (UN1092)","","","","","","","","","","","","","ACRALDEHYDESTABILIZED","","","","","","","",40501
"2713","Acridine",0,0,0,"","","6.1","","Toxic","III","Y645","10 kg","670","100 kg","677","200 kg","","6L","ACRIDINE61","Acridine","","E1","RPB","","","",28641
"2607","Acrolein dimer, stabilized",0,0,0,"","","3","","Flamm. liquid;Package orientation","III","Y344","10 L","355","60 L","366","220 L","A209","3L","ACROLEINDIMERSTABILIZED3","Acrolein dimer, stabilized","","E1","RFL","","","",26981
"","Acrolein dimer, unstabilized",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","ACROLEINDIMERUNSTABILIZED","","","","","","","",26991
"1092","Acrolein, stabilized",0,0,0,"","","6.1","3","","I","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","A209","6H","ACROLEINSTABILIZED61","Acrolein, stabilized","","","RPB","RFL","","",7091
"","Acrolein, unstabilized",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","ACROLEINUNSTABILIZED","","","","","","","",7101
"2074","Acrylamide, solid",0,0,0,"","","6.1","","Toxic","III","Y645","10 kg","670","100 kg","677","200 kg","","6L","ACRYLAMIDESOLID61","Acrylamide, solid","","E1","RPB","","","",21831
"3426","Acrylamide solution",0,0,0,"","","6.1","","Toxic;Package orientation","III","Y642","2 L","655","60 L","663","220 L","A3","6L","ACRYLAMIDESOLUTION61","Acrylamide solution","","E1","RPB","","","",47741
"2218","Acrylic acid, stabilized",0,0,0,"","","8","3","Corrosive;Flamm. liquid;Package orientation","II","Y840","0.5 L","851","1 L","855","30 L","A209","8F","ACRYLICACIDSTABILIZED8","Acrylic acid, stabilized","","E2","RCM","RFL","","",22501
"","Acrylic acid, unstabilized",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","ACRYLICACIDUNSTABILIZED","","","","","","","",22511
"1093","Acrylonitrile, stabilized",0,0,0,"","","3","6.1","Flamm. liquid;Toxic;Package orientation","I","Forbidden","Forbidden","Forbidden","Forbidden","361","30 L","A209","3P","ACRYLONITRILESTABILIZED3","Acrylonitrile, stabilized","","E0","RFL","RPB","","",7121
"","Acrylonitrile, unstabilized",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","ACRYLONITRILEUNSTABILIZED","","","","","","","",7131
"","Actinolite",0,0,0,"","Asbestos amphibole (UN2212)","","","","","","","","","","","","","ACTINOLITE","","","","","","","",26741
"","Activated carbon",0,0,0,"","Carbon, activated (UN1362)","","","","","","","","","","","","","ACTIVATEDCARBON","","","","","","","",11191
"","Activated charcoal",0,0,0,"","Carbon, activated (UN1362)","","","","","","","","","","","","","ACTIVATEDCHARCOAL","","","","","","","",11181
"","Actuating cartridge, explosive",0,0,0,"","Cartridges, power device (UN0275);Cartridges, power device (UN0276);Cartridges, power device (UN0323);Cartridges, power device (UN0381)","","","","","","","","","","","","","ACTUATINGCARTRIDGEEXPLOSIVE","","","","","","","",2901
"1133","Adhesives",0,0,0,"containing flammable liquid","","3","","Flamm. liquid;Package orientation","I","Forbidden","Forbidden","351","1 L","361","30 L","A3","3L","ADHESIVES3CONTAININGFLAMMABLELIQUID","Adhesives","","E3","RFL","","","",7681
"1133","Adhesives",0,0,0,"containing flammable liquid","","3","","Flamm. liquid;Package orientation","II","Y341","1 L","353","5 L","364","60 L","A3","3L","ADHESIVES3CONTAININGFLAMMABLELIQUID","Adhesives","","E2","RFL","","","",7682
"1133","Adhesives",0,0,0,"containing flammable liquid","","3","","Flamm. liquid;Package orientation","III","Y344","10 L","355","60 L","366","220 L","A3","3L","ADHESIVES3CONTAININGFLAMMABLELIQUID","Adhesives","","E1","RFL","","","",7683
"2205","Adiponitrile",0,0,0,"","","6.1","","Toxic;Package orientation","III","Y642","2 L","655","60 L","663","220 L","","6L","ADIPONITRILE61","Adiponitrile","","E1","RPB","","","",22261
"3511","Adsorbed gas",1,0,1,"","","2.2","","Non-flamm. gas","","Forbidden","Forbidden","219","75 kg","219","150 kg","","2L","ADSORBEDGAS","Adsorbed gas","","E0","RNG","","","",57581
"3510","Adsorbed gas, flammable",1,0,1,"","","2.1","","Flamm. gas","","Forbidden","Forbidden","Forbidden","Forbidden","219","150 kg","","10L","ADSORBEDGASFLAMMABLE","Adsorbed gas, flammable","","E0","RFG","","","",57781
"3513","Adsorbed gas, oxidizing",1,0,1,"","","2.2","5.1","Non-flamm. gas;Oxidizer","","Forbidden","Forbidden","219","75 kg","219","150 kg","","2X","ADSORBEDGASOXIDIZING22","Adsorbed gas, oxidizing","","E0","RNG","ROX","","",57981
"3512","Adsorbed gas, toxic",1,0,1,"","","2.3","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","A2","2P","ADSORBEDGASTOXIC","Adsorbed gas, toxic","","","RPG","","","",58181
"3516","Adsorbed gas, toxic, corrosive",1,0,1,"","","2.3","8","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","A2","2CP","ADSORBEDGASTOXICCORROSIVE","Adsorbed gas, toxic, corrosive","","","RPG","RCM","","",58191
"3514","Adsorbed gas, toxic, flammable",1,0,1,"","","2.3","2.1","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","A2","10P","ADSORBEDGASTOXICFLAMMABLE23","Adsorbed gas, toxic, flammable","","","RPG","RFG","","",58201
"3517","Adsorbed gas, toxic, flammable, corrosive",1,0,1,"","","2.3","2.1 8","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","A2","10C","ADSORBEDGASTOXICFLAMMABLECORROSIVE","Adsorbed gas, toxic, flammable, corrosive","","","RPG","RFG","RCM","",58211
"3515","Adsorbed gas, toxic, oxidizing",1,0,1,"","","2.3","5.1","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","A2","2PX","ADSORBEDGASTOXICOXIDIZING","Adsorbed gas, toxic, oxidizing","","","RPG","ROX","","",58221
"3518","Adsorbed gas, toxic, oxidizing, corrosive",1,0,1,"","","2.3","5.1 8","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","A2","2PX","ADSORBEDGASTOXICOXIDIZINGCORROSIVE","Adsorbed gas, toxic, oxidizing, corrosive","","","RPG","ROX","RCM","",58231
"","Aeroplane flares",0,0,0,"","Flares, aerial (UN0093);Flares, aerial (UN0403);Flares, aerial (UN0404);Flares, aerial (UN0420);Flares, aerial (UN0421)","","","","","","","","","","","","","AEROPLANEFLARES","","","","","","","",1041
"1950","Aerosols, flammable",0,0,0,"","","2.1","","Flamm. gas","","Y203","30 kg G","203","75 kg","203","150 kg","A145;A167;A802","10L","AEROSOLSFLAMMABLE21","Aerosols, flammable","hand.gif","E0","RFG","","","",19251
"","Aerosols, flammable, containing substances in Class 8, Packing Group I",0,0,0,"","","","","","","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","Forbidden","","","AEROSOLSFLAMMABLECONTAININGSUBSTANCESINCLASSPACKINGGROUPI","","hand.gif","","","","","",46741
