unno,var,nameRID,ClassRID,CCodeRID,pgRID,LabRID,spRID,lqRID,eqRID,piRID,ppRID,MixRID,tiRID,tpRID,trRID,sptRID,catRID,sppRID,spbRID,splRID,colisRID,hinRID,qdt
2788,a,"ORGANOTIN COMPOUND, LIQUID, N.O.S.",6.1,T3,I,6.1,43 274,0,E5,P001,,MP8 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28 CW31,,66,
2788,b,"ORGANOTIN COMPOUND, LIQUID, N.O.S.",6.1,T3,II,6.1,43 274,100 mL,E4,P001 IBC02,,MP15,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,60,
2788,c,"ORGANOTIN COMPOUND, LIQUID, N.O.S.",6.1,T3,III,6.1,43 274,5 L,E1,P001 IBC03 LP01 R001,,MP19,T7,TP2 TP28,L4BH,TU15,2,W12,,CW13 CW28 CW31,CE8,60,
2789,a,"ACETIC ACID, GLACIAL",8,CF1,II,8+3,,1 L,E2,P001 IBC02,,MP15,T7,TP2,L4BN,,2,,,,CE6,83,
2789,b,ACETIC ACID SOLUTION,8,CF1,II,8+3,,1 L,E2,P001 IBC02,,MP15,T7,TP2,L4BN,,2,,,,CE6,83,"more than 80% acid, by mass"
2790,a,ACETIC ACID SOLUTION,8,C3,II,8,,1 L,E2,P001 IBC02,,MP15,T7,TP2,L4BN,,2,,,,CE6,80,"not less than 50% but not more than 80% acid, by mass"
2790,b,ACETIC ACID SOLUTION,8,C3,III,8,597 647,5 L,E1,P001 IBC03 LP01 R001,,MP19,T4,TP1,L4BN,,3,W12,,,CE8,80,"more than 10% and less than 50% acid, by mass"
2793,a,FERROUS METAL BORINGS,4.2,S4,III,4.2,592,0,E1,P003 IBC08 LP02 R001,PP20 B3 B6,MP14,BK2,,,,3,W1,VC1 VC2 AP1,,CE11,40,in a form liable to self-heating
2793,b,FERROUS METAL SHAVINGS,4.2,S4,III,4.2,592,0,E1,P003 IBC08 LP02 R001,PP20 B3 B6,MP14,BK2,,,,3,W1,VC1 VC2 AP1,,CE11,40,in a form liable to self-heating
2793,c,FERROUS METAL TURNINGS,4.2,S4,III,4.2,592,0,E1,P003 IBC08 LP02 R001,PP20 B3 B6,MP14,BK2,,,,3,W1,VC1 VC2 AP1,,CE11,40,in a form liable to self-heating
