unno,var,nameRID,ClassRID,CCodeRID,pgRID,LabRID,spRID,lqRID,eqRID,piRID,ppRID,MixRID,tiRID,tpRID,trRID,sptRID,catRID,sppRID,spbRID,splRID,colisRID,hinRID,qdt
2757,a,"CARBAMATE PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2757,b,"CARBAMATE PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2757,c,"CARBAMATE PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2758,a,"CARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2758,b,"CARBAMATE PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
2759,a,"ARSENICAL PESTICIDE, SOLID, TOXIC",6.1,T7,I,6.1,61 274 648,0,E5,P002 IBC07,,MP18,T6,TP33,S10AH L10CH,TU14 TU15 TU38 TE21 TE22,1,W10,,CW13 CW28 CW31,CE12,66,
2759,b,"ARSENICAL PESTICIDE, SOLID, TOXIC",6.1,T7,II,6.1,61 274 648,500 g,E4,P002 IBC08,B4,MP10,T3,TP33,SGAH L4BH,TU15,2,W11,,CW13 CW28 CW31,CE9 CE12,60,
2759,c,"ARSENICAL PESTICIDE, SOLID, TOXIC",6.1,T7,III,6.1,61 274 648,5 kg,E1,P002 IBC08 LP02 R001,B3,MP10,T1,TP33,SGAH L4BH,TU15,2,,VC1 VC2 AP7,CW13 CW28 CW31,CE11 CE12,60,
2760,a,"ARSENICAL PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,I,3+6.1,61 274,0,E0,P001,,MP7 MP17,T14,TP2 TP27,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28,,336,flashpoint less than 23°C
2760,b,"ARSENICAL PESTICIDE, LIQUID, FLAMMABLE, TOXIC",3,FT2,II,3+6.1,61 274,1 L,E2,P001 IBC02 R001,,MP19,T11,TP2 TP27,L4BH,TU15,2,,,CW13 CW28,CE7,336,flashpoint less than 23°C
