TYPE,COUNTRY,CODE,DESCRIPTION,HASFLASHPOINTLOWER,FLASHPOINTLOWER,HASFLASHPOINTUPPER,FLASHPOINTUPPER
ICPE,FR,4755.2,Stockage d'alcools de bouche d’origine agricole et leurs constituants,0,0,0,0
ICPE,FR,4420,Stockage de peroxydes organiques type A ou type B,0,0,0,0
ICPE,FR,4421,Stockage de peroxydes organiques type C ou type D,0,0,0,0
ICPE,FR,4422,Stockage de peroxydes organiques type E ou type F,0,0,0,0
ICPE,FR,4410,Stockage de substances et mélanges auto-réactifs type A ou type B,0,0,0,0
ICPE,FR,4411,"Stockage de substances et mélanges auto-réactifs type C, D, E ou F",0,0,0,0
ICPE,FR,1436,Stockage de liquides de point éclair compris entre 60°C et 93°C,0,0,0,0
ICPE,FR,4748,Stockage de 1-bromo-3-chloropropane,0,0,0,0
ICPE,FR,4741,Stockage de mélanges d’hypochlorite de sodium classés dans la catégorie de toxicité aquatique aiguë 1 [H400],0,0,0,0
ICPE,FR,4713,Stockage de fluor,0,0,0,0
ICPE,FR,4703,Stockage de nitrate d’ammonium ou d’engrais hors spécification,0,0,0,0
ICPE,FR,4701,Stockage de nitrate d’ammonium,0,0,0,0
ICPE,FR,4240,"Stockage de Produits explosibles, à l'exclusion des produits explosifs",0,0,0,0
ICPE,FR,4120,"Stockage de toxique aiguë catégorie 2, pour l'une au moins des voies d'exposition",0,0,0,0
ICPE,FR,1510,"Stockage de matières, produits ou substances combustibles dans des entrepôts couverts",0,0,0,0
ICPE,FR,1530,"Dépôts de papiers, cartons ou matériaux combustibles analogues",0,0,0,0
ICPE,FR,1532,Stockage de bois ou de matériaux combustibles analogues,0,0,0,0
ICPE,FR,2663.1,"Pneumatiques et produits dont 50% au moins de la masse totale unitaire est composée de polymères (matières plastiques, caoutchoucs, élastomères, résines, etc.) - À l’état alvéolaire ou expansé",0,0,0,0
ICPE,FR,2663.2,"Pneumatiques et produits dont 50% au moins de la masse totale unitaire est composée de polymères (matières plastiques, caoutchoucs, élastomères, résines, etc.) - Autres cas et pneumatiques",0,0,0,0
ICPE,FR,4321,"Stockage d'aérosols « extrêmement inflammables » ou « inflammables » de catégorie 1 ou 2, ne contenant pas de gaz inflammable de catégorie 1 ou 2, ni de liquide inflammable de catégorie 1",0,0,0,0
ICPE,FR,2630,Détergents(*) et savons (fabrication de ou à base de),0,0,0,0
ICPE,FR,2251,"Préparation, conditionnement de vins",0,0,0,0
ICPE,FR,2430,Préparation de la pâte à papier,0,0,0,0
ICPE,FR,3610a,Pâte à papier fabriquée à partir de bois ou d'autres matières fibreuses dans une installation industrielle,0,0,0,0
ICPE,FR,3610b,Papier ou carton fabriqué dans des installations industrielles et d'une capacité de production supérieure à 20 tonnes par jour,0,0,0,0
ICPE,FR,2731,Sous-produits animaux (dépôt ou transit de),0,0,0,0
ICPE,FR,3260,Traitement de surface de métaux ou de matières plastiques par un procédé électrolytique ou chimique pour lequel le volume des cuves affectées au traitement est supérieur à 30 m3,0,0,0,0
ICPE,FR,2564,"Nettoyage, dégraissage, décapage de surfaces par des procédés utilisant des liquides organohalogénés ou des solvants organiques",0,0,0,0
ICPE,FR,2565,"Revêtement métallique ou traitement (nettoyage, décapage, conversion dont phosphatation, polissage, attaque chimique, vibro_abrasion, etc.)",0,0,0,0
ICPE,FR,QHSE,Contacter votre QHSE,0,0,0,0
