unid,var,nameJTT_EN,qdtJTT_EN,nameJTT_ZH,qdtJTT_ZH,ccodeJTT,classJTT,labelJTT,pgJTT,lqJTT,sprovJTT,eqJTT,piJTT,mixpJTT,ppJTT,tiJTT,adrtJTT,tpJTT,adrtpJTT,tankvJTT,tcatJTT,pprovJTT,bprovJTT,lprovJTT,oprovJTT,hintJTT
3121,,"OXIDIZING SOLID, WATER-REACTIVE, N.O.S.",,"氧化性固体,遇水反应,未另作规定的",,OW,5.1,,,,,,,,,,,,,,,,,,,
3122,a,"TOXIC LIQUID, OXIDIZING, N.O.S.",,"有毒液体,氧化性,未另作规定的",,TO1,6.1,6.1+5.1,I,0,274 315,E0,P001,MP8 MP17,,,L10CH,,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,665
3122,b,"TOXIC LIQUID, OXIDIZING, N.O.S.",,"有毒液体,氧化性,未另作规定的",,TO1,6.1,6.1+5.1,II,100mL,274,E4,P001 IBC02,MP15,,,L4BH,,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,65
3123,a,"TOXIC LIQUID, WATER-REACTIVE, N.O.S.",,"有毒液体,遇水反应,未另作规定的",,TW1,6.1,6.1+4.3,I,0,274 315,E0,P099,MP8 MP17,,,L10CH,,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,623
3123,b,"TOXIC LIQUID, WATER-REACTIVE, N.O.S.",,"有毒液体,遇水反应,未另作规定的",,TW1,6.1,6.1+4.3,II,100mL,274,E4,P001 IBC02,MP15,,,L4BH,,TU15 TE19,AT,2 (D/E),,,CV13 CV28,S9 S19,623
3124,a,"TOXIC SOLID, SELF-HEATING, N.O.S.",,"有毒固体,自热的,未另作规定的",,TS,6.1,6.1+4.2,I,0,274,E5,P002,MP18,,T6,S10AH L10CH,TP33,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,664
3124,b,"TOXIC SOLID, SELF-HEATING, N.O.S.",,"有毒固体,自热的,未另作规定的",,TS,6.1,6.1+4.2,II,0,274,E4,P002 IBC06,MP10,,T3,SGAH L4BH,TP33,TU15 TE19,AT,2 (D/E),V11,,CV13 CV28,S9 S19,64
3125,a,"TOXIC SOLID, WATER-REACTIVE, N.O.S.",,"有毒固体,遇水反应,未另作规定的",,TW2,6.1,6.1+4.3,I,0,274,E5,P099,MP18,,T6,S10AH L10CH,TP33,TU14 TU15 TE19 TE21,AT,1 (C/E),,,CV1 CV13 CV28,S9 S14,642
3125,b,"TOXIC SOLID, WATER-REACTIVE, N.O.S.",,"有毒固体,遇水反应,未另作规定的",,TW2,6.1,6.1+4.3,II,500g,274,E4,P002 IBC06,MP10,,T3,SGAH L4BH,TP33,TU15 TE19,AT,2 (D/E),V11,,CV13 CV28,S9 S19,642
3126,a,"SELF-HEATING SOLID, CORROSIVE, ORGANIC, N.O.S.",,"自热固体,腐蚀性,有机的,未另作规定的",,SC2,4.2,4.2+8,II,0,274,E2,P410 IBC05,MP14,,T3,SGAN,TP33,,AT,2 (D/E),V1,,,,48
3126,b,"SELF-HEATING SOLID, CORROSIVE, ORGANIC, N.O.S.",,"自热固体,腐蚀性,有机的,未另作规定的",,SC2,4.2,4.2+8,III,0,274,E1,P002 IBC08 R001,MP14,B3,T1,SGAN,TP33,,AT,3 (E),V1,,,,48
3127,,"SELF-HEATING SOLID, OXIDIZING, N. O. S",,"自热固体,氧化性,未另作规定的",,SO,4.2,,,,,,,,,,,,,,,,,,,
