unid,var,nameJTT_EN,qdtJTT_EN,nameJTT_ZH,qdtJTT_ZH,ccodeJTT,classJTT,labelJTT,pgJTT,lqJTT,sprovJTT,eqJTT,piJTT,mixpJTT,ppJTT,tiJTT,adrtJTT,tpJTT,adrtpJTT,tankvJTT,tcatJTT,pprovJTT,bprovJTT,lprovJTT,oprovJTT,hintJTT
0004,a,AMMONIUM PICRATE,"dry or wetted with less than 10% water,by mass",苦味酸铵,"干的或湿的,按质量含水低于10%",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0004,b,AMMONIUM PICRATE,"dry or wetted with less than 10% water,by mass",苦味酸铵,"干的或湿的,按质量含水低于10%",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0004,c,AMMONIUM PICRATE,"dry or wetted with less than 10% water,by mass",苦味酸铵,"干的或湿的,按质量含水低于10%",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0005,,CARTRIDGES FOR WEAPONS,with bursting charge,武器弹药筒,带有爆炸装药,1.1F,1,1,,0,,E0,P130,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0006,,CARTRIDGES FOR WEAPONS,with bursting charge,武器弹药筒,带有爆炸装药,1.1E,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0007,,CARTRIDGES FOR WEAPONS,with bursting charge,武器弹药筒,带有爆炸装药,1.2F,1,1,,0,,E0,P130,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0009,,"AMMUNITION, INCENDIARY","with or without burster,expelling charge or propelling charge",燃烧弹药,带或不带起爆装置、发射剂或推进剂,1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0010,,"AMMUNITION, INCENDIARY","with or without burster,expelling charge or propelling charge",燃烧弹药,带或不带起爆装置、发射剂或推进剂,1.3G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0012,a,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE",,"武器弹药筒,带惰性弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0012,b,"CARTRIDGES, SMALL ARMS",,轻武器弹药筒,,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0014,a,"CARTRIDGES FOR WEAPONS, BLANK",,"武器弹药筒,无弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0014,b,"CARTRIDGES, SMALL ARMS, BLANK",,"轻武器弹药筒,无弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0014,c,"CARTRIDGE FOR TOOLS, BLANK",,"轻武器弹药筒,无弹头",,1.4S,1,1.4,,5kg,364,E0,P130,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0015,a,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge",发烟弹药(烟幕弹),带或不带起爆装置、发射剂或推进剂,1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0015,b,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing corrosive substances",发烟弹药(烟幕弹),"带或不带起爆装置、发射剂或推进剂,含有腐蚀性物质",1.2G,1,1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0016,a,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge",发烟弹药(烟幕弹),带有或不带起爆装置、发射剂或推进剂,1.3G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0016,b,"AMMUNITION, SMOKE","with or without burster, expelling charge or propelling charge, containing corrosive substances",发烟弹药(烟幕弹),"带有或不带起爆装置、发射剂或推进剂,含有腐蚀性物质",1.3G,1,1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0018,,"AMMUNITION, TEARPRODUCING","with burster, expelling charge or propelling charge",催泪弹药(催泪弹),带起爆装置、发射药或推进剂,1.2G,1,1+6.1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
0019,,"AMMUNITION, TEARPRODUCING","with burster, expelling charge or propelling charge",催泪弹药(催泪弹),带起爆装置、发射剂或推进剂,1.3G,1,1+6.1+8,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (C5000D),V2,,CV1 CV2 CV3 CV28,S1,
0020,,"AMMUNITION, TOXIC","with burster, expelling charge or propelling charge",毒性弹药 (毒气弹),带起爆装置、发射剂或推进剂,1.2K,1,,,,,,,,,,,,,,,,,,,
0021,,"AMMUNITION, TOXIC","with burster, expelling charge or propelling charge",毒性弹药 (毒气弹),带起爆装置、发射剂或推进剂,1.3K,1,,,,,,,,,,,,,,,,,,,
0027,a,BLACKPOWDER,granular or as a meal,黑火药,颗粒状或粗粉状,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP50,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0027,b,GUNPOWDER,granular or as a meal,火药,颗粒状或粗粉状,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP50,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0028,a,"BLACK POWDER, COMPRESSED",,"黑火药,压缩的",,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0028,b,BLACK POWDER IN PELLETS,,丸状黑火药,,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0028,c,"GUNPOWDER, COMPRESSED",,"火药,压缩的",,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0028,d,GUNPOWDER IN PELLETS,,丸状火药,,1.1D,1,1,,0,,E0,P113,MP20 MP24,PP51,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0029,,"DETONATORS, NONELECTRIC",for blasting,非电引爆雷管,爆破用,1.1B,1,1,,0,,E0,P131,MP23,PP68,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0030,,"DETONATORS, ELECTRIC",for blasting,电引爆雷管,爆破用,1.1B,1,1,,0,,E0,P131,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0033,,BOMBS,with bursting charge,炸弹,带有爆炸装药,1.1F,1,1,,0,,E0,P130,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0034,,BOMBS,with bursting charge,炸弹,带有爆炸装药,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0035,,BOMBS,with bursting charge,炸弹,带有爆炸装药,1.2D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0037,,"BOMBS, PHOTOFLASH",,摄影闪光弹,,1.1F,1,1,,0,,E0,P130,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0038,,"BOMBS, PHOTOFLASH",,摄影闪光弹,,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0039,,"BOMBS, PHOTOFLASH",,摄影闪光弹,,1.2G,1,1,,0,,E0,P130 LP101,MP23,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0042,a,BOOSTERS,without detonator,助爆管,不带雷管,1.1D,1,1,,0,,E0,P132(a),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0042,b,BOOSTERS,without detonator,助爆管,不带雷管,1.1D,1,1,,0,,E0,P132(b),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0043,,BURSTERS,explosive,起爆装置,爆炸性,1.1D,1,1,,0,,E0,P133,MP21,PP69,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0044,,"PRIMERS, CAPTYPE",,"起爆器,帽状",,1.4S,1,1.4,,0,,E0,P133,MP23 MP24,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0048,,"CHARGES, DEMOLITION",,爆破炸药,,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0049,,"CARTRIDGES, FLASH",,闪光弹药筒,,1.1G,1,1,,0,,E0,P135,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0050,,"CARTRIDGES, FLASH",,闪光弹药筒,,1.3G,1,1,,0,,E0,P135,MP23,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0054,,"CARTRIDGES, SIGNAL",,信号弹药筒,,1.3G,1,1,,0,,E0,P135,MP23 MP24,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0055,,"CASES, CARTRIDGE, EMPTY, WITHPRIMER",,"空弹药筒壳,带有起爆器",,1.4S,1,1.4,,5kg,364,E0,P136,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0056,,"CHARGES, DEPTH",,深水炸弹,,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0059,,"CHARGES, SHAPED",without detonator,聚能装药,不带雷管,1.1D,1,1,,0,,E0,P137,MP21,PP70,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0060,a,"CHARGES, SUPPLEMENTARY, EXPLOSIVE",,补助性爆炸装药,,1.1D,1,1,,0,,E0,P132(a),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0060,b,"CHARGES, SUPPLEMENTARY, EXPLOSIVE",,补助性爆炸装药,,1.1D,1,1,,0,,E0,P132(b),MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0065,,"CORD, DETONATING",flexible,导爆索,柔性,1.1D,1,1,,0,,E0,P139,MP21,PP71 PP72,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0066,,"CORD, IGNITER",,点火索,,1.4G,1,1.4,,0,,E0,P140,MP23,,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
0070,,"CUTTERS, CABLE, EXPLOSIVE",,爆炸性电缆切割器,,1.4S,1,1.4,,0,,E0,P134 LP102,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0072,a,"CYCLOTRIMETHYLENETRINITRAMINE, WETTED","with not less than 15% water,by mass","环三亚甲基三硝胺,湿的",按质量含水不少于15%,1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0072,b,"CYCLONITE, WETTED","with not less than 15% water,by mass","旋风炸药,湿的",按质量含水不少于15%,1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0072,c,"RDX, WETTED","with not less than 15% water,by mass","RDX,湿的",按质量含水不少于15%,1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0072,d,"HEXOGEN, WETTED","with not less than 15% water,by mass","黑索金,湿的",按质量含水不少于15%,1.1D,1,1,,0,266,E0,P112(a),MP20,PP45,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0073,,DETONATORS FOR AMMUNITION,,弹药用雷管 (军用雷管),,1.1B,1,1,,0,,E0,P133,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0074,,"DIAZODINITROPHENOL, WETTED","with not less than 40% water, or mixture of alco hol and water, by mass","二硝基重氮苯酚,湿的",按质量含水或水和酒精的混合物不少于40%,1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0075,,"DIETHYLENEGLYCOL DINITRATE, DESENSITIZED","with not less than 25% nonvolatile, water in soluble phlegmatizer, by mass","二甘醇二硝酸酯,减敏的",按质量含不挥发、不溶于水的减敏剂不少于25%,1.1D,1,1,,0,266,E0,P115,MP20,PP53 PP54 PP57 PP58,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0076,a,DINITROPHENOL,"dry or wetted with less than 15% water, by mass",二硝基苯酚,"干的或湿的,按质量含水少于15%",1.1D,1,1+6.1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3 CV28,S1,
0076,b,DINITROPHENOL,"dry or wetted with less than 15% water, by mass",二硝基苯酚,"干的或湿的,按质量含水少于15%",1.1D,1,1+6.1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3 CV28,S1,
0076,c,DINITROPHENOL,"dry or wetted with less than 15% water, by mass",二硝基苯酚,"干的或湿的,按质量含水少于15%",1.1D,1,1+6.1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3 CV28,S1,
0077,a,DINITROPHENOLATES,"alkali metals,dry or wetted with less than 15% water, by mass",二硝基苯酚盐类,"碱金属,干的或湿的,按质量含水少于15%",1.3C,1,1+6.1,,0,,E0,P114(a),MP20,PP26,,,,,,1 (C5000D),V2 V3,,CV1 CV2 CV3 CV28,S1,
0077,b,DINITROPHENOLATES,"alkali metals,dry or wetted with less than 15% water, by mass",二硝基苯酚盐类,"碱金属,干的或湿的,按质量含水少于15%",1.3C,1,1+6.1,,0,,E0,P114(b),MP20,PP26,,,,,,1 (C5000D),V2 V3,,CV1 CV2 CV3 CV28,S1,
0078,a,DINITRORESORCINOL,"dry or wetted with less than 15% water,by mass",二硝基间苯二酚,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(a),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0078,b,DINITRORESORCINOL,"dry or wetted with less than 15% water,by mass",二硝基间苯二酚,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(b),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0078,c,DINITRORESORCINOL,"dry or wetted with less than 15% water,by mass",二硝基间苯二酚,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(c),MP20,PP26,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0079,a,HEXANITRODIPHENYLAMINE,,六硝基二苯胺,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0079,b,HEXANITRODIPHENYLAMINE,,六硝基二苯胺,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0079,c,DIPICRYLAMINE,,二苦胺,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0079,d,DIPICRYLAMINE,,二苦胺,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0079,e,HEXYL,,六硝炸药,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0079,f,HEXYL,,六硝炸药,,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0081,,"EXPLOSIVE, BLASTING, TYPE A",,"爆破炸药, A型",,1.1D,1,1,,0,616 617,E0,P116,MP20,PP63 PP66,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0082,,"EXPLOSIVE, BLASTING, TYPE B",,"爆破炸药, B型",,1.1D,1,1,,0,617,E0,P116 IBC100,MP20,PP61 PP62 B9,,,,,,1 (B1000C),V2 V3 V12,,CV1 CV2 CV3,S1,
0083,,"EXPLOSIVE, BLASTING, TYPE C",,"爆破炸药, C型",,1.1D,1,1,,0,267 617,E0,P116,MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0084,,"EXPLOSIVE, BLASTING, TYPE D",,"爆破炸药, D型",,1.1D,1,1,,0,617,E0,P116,MP20,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0092,,"FLARES, SURFACE",,地面照明弹,,1.3G,1,1,,0,,E0,P135,MP23,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0093,,"FLARES, AERIAL",,空投照明弹,,1.3G,1,1,,0,,E0,P135,MP23,,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0094,,FLASH POWDER,,闪光粉,,1.1G,1,1,,0,,E0,P113,MP20,PP49,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0099,,"FRACTURINGD EVICES, EXPLOSIVE","without detonator,for oil wells","爆炸式压裂装置,油井用",不带雷管,1.1D,1,1,,0,,E0,P134 LP102,MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0101,,"FUSE, NON-DETONATING",,"导火索,非起爆的",,1.3G,1,1,,0,,E0,P140,MP23,PP74 PP75,,,,,,1 (C5000D),V2,,CV1 CV2 CV3,S1,
0102,a,"CORD, DETONATING",metal clad,导爆索,包金属的,1.2D,1,1,,0,,E0,P139,MP21,PP71,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0102,b,"FUSE, DETONATING",metal clad,引信,包金属的,1.2D,1,1,,0,,E0,P139,MP21,PP71,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0103,,"FUSE, IGNITER","tubular, metal clad",点火索,"管状,包金属的",1.4G,1,1.4,,0,,E0,P140,MP23,,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
0104,a,"CORD, DETONATING, MILD EFFECT",metal clad,导爆索,"弱效应,包金属的",1.4D,1,1.4,,0,,E0,P139,MP21,PP71,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
0104,b,"FUSE, DETONATING, MILD EFFECT",metal clad,引信,"弱效应,包金属的",1.4D,1,1.4,,0,,E0,P139,MP21,PP71,,,,,,2 (E),V2,,CV1 CV2 CV3,S1,
0105,,"FUSE,SAFETY",,安全导火索,,1.4S,1,1.4,,0,,E0,P140,MP23,PP73,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0106,,"FUZES, DETONATING",,起爆引信,,1.1B,1,1,,0,,E0,P141,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0107,,"FUZES, DETONATING",,起爆引信,,1.2B,1,1,,0,,E0,P141,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0110,,"GRENADES, PRACTICE",hand or rifle,"手榴弹或枪榴弹,练习用",,1.4S,1,1.4,,0,,E0,P141,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0113,,"GUANYL NITROSAMINOGUANYLIDENE HYDRAZINE, WETTED","with not less than 30% water, by mass","脒基亚硝氨基脒基肼,湿的",按质量含水不少于30%,1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0114,a,"GUANYL NITROSAMINOGUANYLTETRAZENE, WETTED","with not less than 30% water,or mixture of alcohol and water,by mass","脒基亚硝氨基脒基四氮烯,湿的","按质量含水,或水和酒精的混合物不少于30%",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0114,b,"TETRAZENE, WETTED","with not less than 30% water,or mixture of alcohol and water,by mass","四氮烯,湿的","按质量含水,或水和酒精的混合物不少于30%",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0118,a,HEXOLITE,"dry or wetted with less than 15% water, by mass",黑克索利特炸药,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0118,b,HEXOLITE,"dry or wetted with less than 15% water, by mass",黑克索利特炸药,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0118,c,HEXOLITE,"dry or wetted with less than 15% water, by mass",黑克索利特炸药,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0118,d,HEXOTOL,"dry or wetted with less than 15% water, by mass",黑梯炸药,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0118,e,HEXOTOL,"dry or wetted with less than 15% water, by mass",黑梯炸药,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0118,f,HEXOTOL,"dry or wetted with less than 15% water, by mass",黑梯炸药,"干的或湿的,按质量含水少于15%",1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0121,,IGNITERS,,点火器,,1.1G,1,1,,0,,E0,P142,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0124,,"JET PERFORATING GUNS, CHARGED","oil well, without detonator",装药的喷射式钻孔枪,"油井用,无雷管",1.1D,1,1,,0,,E0,P101,MP21,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0129,,"LEAD AZIDE, WETTED","with not less than 20% water, or mixture of alcohol and water,by mass","叠氮化铅,湿的","按质量含水,或水和酒精的混合物不少于20%",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0130,a,"LEAD STYPHNATE , WETTED","with not less than 20% water,or mixture of alcohol and water,by mass","收敛酸铅,湿的",按质量含水或水和酒精的混合物不少于20%,1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0130,b,"LEAD TRINITRORES ORCINATE, WETTED","with not less than 20% water,or mixture of alcohol and water,by mass","三硝基间苯二酚铅,湿的",按质量含水或水和酒精的混合物不少于20%,1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0131,,"LIGHTERS, FUSE",,"点火器,导火索用(导火索点火器)",,1.4S,1,1.4,,0,,E0,P142,MP23,,,,,,,4 (E),,,CV1 CV2 CV3,S1,
0132,a,"DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES,N.O.S.",,"芳香族硝基衍生物的爆燃金属盐,未另作规定的",,1.3C,1,1,,0,274,E0,P114(a),MP2,PP26,,,,,,1 (C5000D),V2 V3,,CV1 CV2 CV3,S1,
0132,b,"DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES,N.O.S.",,"芳香族硝基衍生物的爆燃金属盐,未另作规定的",,1.3C,1,1,,0,274,E0,P114(b),MP2,PP26,,,,,,1 (C5000D),V2 V3,,CV1 CV2 CV3,S1,
0133,a,"MANNITOL HEXANITRATE , WETTED","with not less than 40% water, or mixture of alcohol and water, by mass","甘露糖醇六硝酸酯,湿的",按质量含水或水和酒精的混合物不少于40%,1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0133,b,"NITROMANNITE, WETTED","with not less than 40% water, or mixture of alcohol and water, by mass","甘露糖醇六硝酸酯,湿的",按质量含水或水和酒精的混合物不少于40%,1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0135,,"MERCURY FULMINATE, WETTED","with not less than 20% water, or mixture of alcohol and water,by mass","雷酸汞,湿的","按质量含水,或水和酒精的混合物不少于20%",1.1A,1,1,,0,266,E0,P110(b),MP20,PP42,,,,,,0 (B),V2,,CV1 CV2 CV3,S1,
0136,,MINES,with bursting charge,地(水)雷,带有爆炸装药,1.1F,1,1,,0,,E0,P130,MP23,,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0137,,MINES,with bursting charge,地(水)雷,带有爆炸装药,1.1D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0138,,MINES,with bursting charge,地(水)雷,带有爆炸装药,1.2D,1,1,,0,,E0,P130 LP101,MP21,PP67 L1,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0143,,"NITROGLYCERIN, DESENSITIZED","with not less than 40% non-volatile water-insoluble phlegmatizer, by mass","硝化甘油,退敏的",按质量含不挥发、不溶于水的减敏剂不少于40%,1.1D,1,1+6.1,,0,266 271,E0,P115,MP20,PP53 PP54 PP57 PP58,,,,,,1 (B1000C),V2,,CV1 CV2 CV3 CV28,S1,
0144,,NITROGLYCERIN SOLUTION IN ALCOHOL,with more than 1% but not more than 10% nitroglycerin,硝化甘油酒精溶液,含硝化甘油1%~10%,1.1D,1,1,,0,358,E0,P115,MP20,PP45 PP55 PP56 PP59 PP60,,,,,,1 (B1000C),V2,,CV1 CV2 CV3,S1,
0146,a,NITROSTARCH,"dry or wetted with less than 20% water, by mass","硝化淀粉,干的或湿的",按质量含水少于20%,1.1D,1,1,,0,,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0146,b,NITROSTARCH,"dry or wetted with less than 20% water, by mass","硝化淀粉,干的或湿的",按质量含水少于20%,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0146,c,NITROSTARCH,"dry or wetted with less than 20% water, by mass","硝化淀粉,干的或湿的",按质量含水少于20%,1.1D,1,1,,0,,E0,P112(c),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0147,,NITROUREA,,硝基脲,,1.1D,1,1,,0,,E0,P112(b),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0150,a,"PENTAERYTHRITE TETRANITRATE, WETTED","with not less than 25% water, by mass","季戊四醇四硝酸酯,湿的",按质量含水不少于25%,1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0150,b,"PENTAERYTHRITOL TETRANITRATE, WETTED","with not less than 25% water, by mass","泰安炸药,季戊炸药,PETN),湿的",按质量含水不少于25%,1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
0150,c,"PETN, WETTED","with not less than 25% water, by mass","PETN,湿的",按质量含水不少于25%,1.1D,1,1,,0,266,E0,P112(a),MP20,,,,,,,1 (B1000C),V2 V3,,CV1 CV2 CV3,S1,
