TariffCode,AttributeName,AttributeValue
2707500000,COMMODITYTYPE,DGC
2707910000,COMMODITYTYPE,DGC
2707991000,COMMODITYTYPE,DGC
2707999000,COMMODITYTYPE,DGC
2708100000,COMMODITYTYPE,DGC
2709000000,COMMODITYTYPE,DGC
2710121000,COMMODITYTYPE,DGC
2710122000,COMMODITYTYPE,DGC
2710123000,COMMODITYTYPE,DGC
2710129101,COMMODITYTYPE,DGC
2710129190,COMMODITYTYPE,DGC
2710129990,COMMODITYTYPE,DGC
2710191100,COMMODITYTYPE,DGC
2710191200,COMMODITYTYPE,DGC
2710191910,COMMODITYTYPE,DGC
2710191990,COMMODITYTYPE,DGC
2710192300,COMMODITYTYPE,DGC
2710192990,COMMODITYTYPE,DGC
2710199310,COMMODITYTYPE,DGC
2710199390,COMMODITYTYPE,DGC
2710199990,COMMODITYTYPE,DGC
2710910000,COMMODITYTYPE,DGC
2710990000,COMMODITYTYPE,DGC
2711110000,COMMODITYTYPE,DGC
2711120000,COMMODITYTYPE,DGC
2711131000,COMMODITYTYPE,DGC
2711139000,COMMODITYTYPE,DGC
2711140090,COMMODITYTYPE,DGC
2711199010,COMMODITYTYPE,DGC
2711199090,COMMODITYTYPE,DGC
2711210000,COMMODITYTYPE,DGC
2711290010,COMMODITYTYPE,DGC
2711290090,COMMODITYTYPE,DGC
2801100000,COMMODITYTYPE,DGC
2801301000,COMMODITYTYPE,DGC
2801302000,COMMODITYTYPE,DGC
2802000000,COMMODITYTYPE,DGC
2804100000,COMMODITYTYPE,DGC
2804210000,COMMODITYTYPE,DGC
2804290000,COMMODITYTYPE,DGC
2804300000,COMMODITYTYPE,DGC
2804400000,COMMODITYTYPE,DGC
2804619099,COMMODITYTYPE,DGC
2804690000,COMMODITYTYPE,DGC
2804701000,COMMODITYTYPE,DGC
2804709010,COMMODITYTYPE,DGC
2804800000,COMMODITYTYPE,DGC
2804909000,COMMODITYTYPE,DGC
2805110000,COMMODITYTYPE,DGC
2805120010,COMMODITYTYPE,DGC
2805120090,COMMODITYTYPE,DGC
2805191000,COMMODITYTYPE,DGC
2805199000,COMMODITYTYPE,DGC
2805301100,COMMODITYTYPE,DGC
2805301400,COMMODITYTYPE,DGC
2805301510,COMMODITYTYPE,DGC
2805301590,COMMODITYTYPE,DGC
2805302900,COMMODITYTYPE,DGC
2805400000,COMMODITYTYPE,DGC
2806100000,COMMODITYTYPE,DGC
2806200000,COMMODITYTYPE,DGC
2807000010,COMMODITYTYPE,DGC
2807000090,COMMODITYTYPE,DGC
2808000010,COMMODITYTYPE,DGC
2808000090,COMMODITYTYPE,DGC
2809100000,COMMODITYTYPE,DGC
2809201100,COMMODITYTYPE,DGC
2809201900,COMMODITYTYPE,DGC
2809209000,COMMODITYTYPE,DGC
2810002000,COMMODITYTYPE,DGC
2811111000,COMMODITYTYPE,DGC
2811119000,COMMODITYTYPE,DGC
2811120000,COMMODITYTYPE,DGC
2811192000,COMMODITYTYPE,DGC
2811199010,COMMODITYTYPE,DGC
2811199020,COMMODITYTYPE,DGC
2811199090,COMMODITYTYPE,DGC
2811210000,COMMODITYTYPE,DGC
2811290010,COMMODITYTYPE,DGC
2811290020,COMMODITYTYPE,DGC
2811290090,COMMODITYTYPE,DGC
2812110000,COMMODITYTYPE,DGC
2812120000,COMMODITYTYPE,DGC
2812130000,COMMODITYTYPE,DGC
2812140000,COMMODITYTYPE,DGC
2812150000,COMMODITYTYPE,DGC
2812160000,COMMODITYTYPE,DGC
2812170000,COMMODITYTYPE,DGC
2812190020,COMMODITYTYPE,DGC
2812190091,COMMODITYTYPE,DGC
2812190099,COMMODITYTYPE,DGC
2812901100,COMMODITYTYPE,DGC
2812901910,COMMODITYTYPE,DGC
2812901920,COMMODITYTYPE,DGC
2812901930,COMMODITYTYPE,DGC
2812901990,COMMODITYTYPE,DGC
2812909010,COMMODITYTYPE,DGC
2812909090,COMMODITYTYPE,DGC
2813100000,COMMODITYTYPE,DGC
2813900010,COMMODITYTYPE,DGC
2813900020,COMMODITYTYPE,DGC
2813900090,COMMODITYTYPE,DGC
2814100000,COMMODITYTYPE,DGC
2814200010,COMMODITYTYPE,DGC
2815110000,COMMODITYTYPE,DGC
2815120000,COMMODITYTYPE,DGC
2815200000,COMMODITYTYPE,DGC
2815300000,COMMODITYTYPE,DGC
2816100010,COMMODITYTYPE,DGC
2816400000,COMMODITYTYPE,DGC
2817009000,COMMODITYTYPE,DGC
2819100000,COMMODITYTYPE,DGC
2824100000,COMMODITYTYPE,DGC
2824901000,COMMODITYTYPE,DGC
2824909000,COMMODITYTYPE,DGC
2825101090,COMMODITYTYPE,DGC
2825102000,COMMODITYTYPE,DGC
2825109000,COMMODITYTYPE,DGC
2825201000,COMMODITYTYPE,DGC
2825209000,COMMODITYTYPE,DGC
2825301000,COMMODITYTYPE,DGC
2825309000,COMMODITYTYPE,DGC
2825800000,COMMODITYTYPE,DGC
2825909000,COMMODITYTYPE,DGC
2826191010,COMMODITYTYPE,DGC
2826191090,COMMODITYTYPE,DGC
2826192010,COMMODITYTYPE,DGC
2826192020,COMMODITYTYPE,DGC
2826199010,COMMODITYTYPE,DGC
2826199020,COMMODITYTYPE,DGC
2826199030,COMMODITYTYPE,DGC
2826199090,COMMODITYTYPE,DGC
2826901000,COMMODITYTYPE,DGC
2826909010,COMMODITYTYPE,DGC
2826909030,COMMODITYTYPE,DGC
2826909090,COMMODITYTYPE,DGC
2827320000,COMMODITYTYPE,DGC
2827350000,COMMODITYTYPE,DGC
2827392000,COMMODITYTYPE,DGC
2827393000,COMMODITYTYPE,DGC
2827399000,COMMODITYTYPE,DGC
2827499000,COMMODITYTYPE,DGC
2827590000,COMMODITYTYPE,DGC
2827600000,COMMODITYTYPE,DGC
2828100000,COMMODITYTYPE,DGC
2828900000,COMMODITYTYPE,DGC
2829110000,COMMODITYTYPE,DGC
2829191000,COMMODITYTYPE,DGC
2829199000,COMMODITYTYPE,DGC
2829900010,COMMODITYTYPE,DGC
2829900090,COMMODITYTYPE,DGC
2830101000,COMMODITYTYPE,DGC
2830109000,COMMODITYTYPE,DGC
2830902000,COMMODITYTYPE,DGC
2830909000,COMMODITYTYPE,DGC
2831101000,COMMODITYTYPE,DGC
2831900000,COMMODITYTYPE,DGC
2832100000,COMMODITYTYPE,DGC
2832200000,COMMODITYTYPE,DGC
2833190000,COMMODITYTYPE,DGC
2833240000,COMMODITYTYPE,DGC
2833299010,COMMODITYTYPE,DGC
2833299090,COMMODITYTYPE,DGC
2833400000,COMMODITYTYPE,DGC
2834100000,COMMODITYTYPE,DGC
2834219000,COMMODITYTYPE,DGC
2834291000,COMMODITYTYPE,DGC
2834299001,COMMODITYTYPE,DGC
2834299090,COMMODITYTYPE,DGC
2835100000,COMMODITYTYPE,DGC
2835299000,COMMODITYTYPE,DGC
2836999000,COMMODITYTYPE,DGC
2837111000,COMMODITYTYPE,DGC
2837191000,COMMODITYTYPE,DGC
2837199011,COMMODITYTYPE,DGC
2837199012,COMMODITYTYPE,DGC
2837199013,COMMODITYTYPE,DGC
2837199014,COMMODITYTYPE,DGC
2837200011,COMMODITYTYPE,DGC
2837200012,COMMODITYTYPE,DGC
2839110000,COMMODITYTYPE,DGC
2839900010,COMMODITYTYPE,DGC
2840300000,COMMODITYTYPE,DGC
2841300000,COMMODITYTYPE,DGC
2841500000,COMMODITYTYPE,DGC
2841610000,COMMODITYTYPE,DGC
2841699000,COMMODITYTYPE,DGC
2841900090,COMMODITYTYPE,DGC
2903710000,COMMODITYTYPE,DGC
2903740000,COMMODITYTYPE,DGC
2903760010,COMMODITYTYPE,DGC
2903760020,COMMODITYTYPE,DGC
2903772011,COMMODITYTYPE,DGC
2903772012,COMMODITYTYPE,DGC
2903772014,COMMODITYTYPE,DGC
2903772015,COMMODITYTYPE,DGC
2903772016,COMMODITYTYPE,DGC
2903772090,COMMODITYTYPE,DGC
2903779000,COMMODITYTYPE,DGC
2903780000,COMMODITYTYPE,DGC
2903791011,COMMODITYTYPE,DGC
2903791012,COMMODITYTYPE,DGC
2903799021,COMMODITYTYPE,DGC
2903799090,COMMODITYTYPE,DGC
2903810010,COMMODITYTYPE,DGC
2903810020,COMMODITYTYPE,DGC
2903810090,COMMODITYTYPE,DGC
2903820010,COMMODITYTYPE,DGC
2903820090,COMMODITYTYPE,DGC
2903830000,COMMODITYTYPE,DGC
2903890010,COMMODITYTYPE,DGC
2903890020,COMMODITYTYPE,DGC
2903890090,COMMODITYTYPE,DGC
2903911000,COMMODITYTYPE,DGC
2903919090,COMMODITYTYPE,DGC
2903920000,COMMODITYTYPE,DGC
2903930000,COMMODITYTYPE,DGC
2903940000,COMMODITYTYPE,DGC
2903991000,COMMODITYTYPE,DGC
2903999010,COMMODITYTYPE,DGC
2903999030,COMMODITYTYPE,DGC
2903999090,COMMODITYTYPE,DGC
2904100000,COMMODITYTYPE,DGC
2904201000,COMMODITYTYPE,DGC
2904202000,COMMODITYTYPE,DGC
2904203000,COMMODITYTYPE,DGC
2904204000,COMMODITYTYPE,DGC
2904209010,COMMODITYTYPE,DGC
2904209020,COMMODITYTYPE,DGC
2904209090,COMMODITYTYPE,DGC
2904310000,COMMODITYTYPE,DGC
2904320000,COMMODITYTYPE,DGC
2904330000,COMMODITYTYPE,DGC
2904340000,COMMODITYTYPE,DGC
2904360000,COMMODITYTYPE,DGC
2904910000,COMMODITYTYPE,DGC
2904990011,COMMODITYTYPE,DGC
2904990013,COMMODITYTYPE,DGC
2904990090,COMMODITYTYPE,DGC
2905110000,COMMODITYTYPE,DGC
2905121000,COMMODITYTYPE,DGC
2842901910,COMMODITYTYPE,DGC
2842902000,COMMODITYTYPE,DGC
2842905000,COMMODITYTYPE,DGC
2842909013,COMMODITYTYPE,DGC
2842909014,COMMODITYTYPE,DGC
2842909015,COMMODITYTYPE,DGC
2842909016,COMMODITYTYPE,DGC
2842909017,COMMODITYTYPE,DGC
2842909018,COMMODITYTYPE,DGC
2842909019,COMMODITYTYPE,DGC
2842909021,COMMODITYTYPE,DGC
2842909022,COMMODITYTYPE,DGC
2842909023,COMMODITYTYPE,DGC
2842909090,COMMODITYTYPE,DGC
2843210000,COMMODITYTYPE,DGC
2843290010,COMMODITYTYPE,DGC
2843290090,COMMODITYTYPE,DGC
2843300010,COMMODITYTYPE,DGC
2843900039,COMMODITYTYPE,DGC
2843900099,COMMODITYTYPE,DGC
2845900010,COMMODITYTYPE,DGC
