"Sender","Recipient","Interface"
"KWESYDTST","KWESYDTST_UAR","UFS Invoice txt - Send A/R Invoice data"
"KWESYDSYD","KWESYDSYD_214","Emerson 214 - Send Status Messages"
"KWESYDTST","KWESYDTST_214","Emerson 214 - Send Status Messages"
"LFSMELMEL_TSH","LFSMELMEL","TMS csv-file - Receive Forwarding Shipments"
"LFSMELMEL_TED","LFSMELMEL","TMS csv-file - Receive Shipment eDocs"
"LO3BHXNBN_PAR","LO3BHXNBN","Previous OS v3 csv file - Receive A/R Invoice data"
"LO3BHXNBN_PAP","LO3BHXNBN","Previous OS v3 csv file - Receive A/P Invoice data"
".*","MBVMBVTS3_SF1","CW1 UXML - Send to FTP Server 1"
"MCEMELHST_RF2","MCEMELHST","Enterprise XML - Receive from FTP Server 1"
"MCEMELTST_RF2","MCEMELTST","Enterprise XML - Receive from FTP Server 1"
"MSCCMBHST_XML","MSCCMBHST","Receive Shipment XML files as Forwarding Bookings"
"OTSEL1MEL_MWO","OTSEL1MEL","Mizuno Order File - Receive Warehouse Orders"
"OTSEL1TST_MWO","OTSEL1TST","Mizuno Order File - Receive Warehouse Orders"
"OTSEL1MEL","OTSEL1MEL_MDD","Mizuno Order Dispatch File - Send Warehouse Orders"
"OTSEL1TST","OTSEL1TST_MDD","Mizuno Order Dispatch File - Send Warehouse Orders"
"PMLDFWCAX","PMLDFWCAX_PIE","Pier 1 ANSI 214 - Export Domestic Shipment Status"
"SDBSYDSYD_LSH","SDBSYDSYD","Import standard Enterprise Universal XML files"
"SDBSYDTST_LSH","SDBSYDTST","Import standard Enterprise Universal XML files"
"SDBSYDSYD.*","SDBSYDSYD_LSH","Store standard Enterprise Universal XML files"
"SDBSYDTST","SDBSYDTST_LSH","Store standard Enterprise Universal XML files"
"TELSYDSYD_COU","TELSYDSYD","Receive Legacy XML-files as Shipments into CW1"
"TR0BNEBNE_BP1","TR0BNEBNE","BP From Project - Receive OrderManager Orders"
"TR0BNETRN_BP1","TR0BNETRN","BP From Project - Receive OrderManager Orders"
".*","TR0BNEBNE_BP1","BP To Project - Send Shipment Data"
".*","TR0BNETRN_BP1","BP To Project - Send Shipment Data"
"TRLVSRTRI_VS1","TRLVSRTRI","VS 850 - Import of OrderManager Orders"
"TRXELPELP","TRXELPELP_CSB","Cisco file - Export Shipment & Billing data"
"TRXELPTST","TRXELPTST_CSB","Cisco file - Export Shipment & Billing data"
"TRXELPELP","TRXELPELP_BIR","Omnicell 210 - Export A/R Invoices"
"TRXELPTST","TRXELPTST_BIR","Omnicell 210 - Export A/R Invoices"
"TRXELPELP","TRXELPELP_SPR","Sprint Wireless 110 - Export A/R Invoices"
"TRXELPTST","TRXELPTST_SPR","Sprint Wireless 110 - Export A/R Invoices"
"TRXELPELP_Z94","TRXELPELP","Zero Technologies 940 - Receive Warehouse Orders"
"TRXELPTST_Z94","TRXELPTST","Zero Technologies 940 - Receive Warehouse Orders"
"TRXELPELP","TRXELPELP_Z94","Zero Technologies 945 - Send WH Order Ship Advice"
"TRXELPTST","TRXELPTST_Z94","Zero Technologies 945 - Send WH Order Ship Advice"
"TRXELPELP.*","TRXELPELP_C01","Crown Data 211 - Send Shipments"
"TRXELPTS3.*","TRXELPTS3_C01","Crown Data 211 - Send Shipments"
"TRXELPELP_C02","TRXELPELP","Crown Data 990 - Receive Response Messages"
"TRXELPTS3_C02","TRXELPTS3","Crown Data 990 - Receive Response Messages"
"TRXELPELP_C03","TRXELPELP","Crown Data 214 - Receive Shipment Status"
"TRXELPTS3_C03","TRXELPTS3","Crown Data 214 - Receive Shipment Status"
"TRXELPELP_C04","TRXELPELP","Crown Data 210 - Receive Shipment Costs"
"TRXELPTS3_C04","TRXELPTS3","Crown Data 210 - Receive Shipment Costs"
"TRXELPELP_C05","TRXELPELP","Crown Data PDF & TIFF - Receive eDocs"
"TRXELPTS3_C05","TRXELPTS3","Crown Data PDF & TIFF - Receive eDocs"
"TRXELPELP_F01","TRXELPELP","Freight Force 214 - Receive Shipment Status"
"TRXELPTS3_F01","TRXELPTS3","Freight Force 214 - Receive Shipment Status"
"TRXELPELP_F02","TRXELPELP","Freight Force 210 - Receive Shipment Costs"
"TRXELPTS3_F02","TRXELPTS3","Freight Force 210 - Receive Shipment Costs"
"VE1WIHWIH_OME","VE1WIHWIH","Melas Order TXT - Receive Warehouse Orders"
"VE1WIHTRN_OME","VE1WIHTRN","Melas Order TXT - Receive Warehouse Orders"
"WFNSYDSYD_DIS","WFNSYDSYD","Enterprise Consol xml - Import Dimerco Sea Consols"
"WYOYTOPRD","WYOYTOPRD_L15","Lush 315 - Send Shipment Status"
"WYOYTOTRN","WYOYTOTRN_L15","Lush 315 - Send Shipment Status"
"XXXUSAOR1_RF1","XXXUSAOR1","Universal XML XXX - Receive "
"YASYJPPRD_CHG","YASYJPPRD","Flat File- Import YJP Air Imp. Ship.Charges+Costs1"
"YASYJPTST_CHG","YASYJPTST","Flat File- Import YJP Air Imp. Ship.Charges+Costs1"
