8701.10.10.00
8701.10.90.00
8701.20.00.11
8701.20.00.12
8701.20.00.20
8701.30.00.11
8701.30.00.12
8701.30.00.13
8701.30.00.14
8701.30.00.15
8701.30.00.20
8701.30.00.90
8701.90.10.00
8701.90.90.10
8701.90.90.21
8701.90.90.22
8701.90.90.23
8701.90.90.24
8701.90.90.25
8701.90.90.26
8701.90.90.31
8701.90.90.32
8701.90.90.33
8701.90.90.34
8701.90.90.35
8701.90.90.40
8701.90.90.50
8701.90.90.81
8701.90.90.82
8701.90.90.83
8701.90.90.90
8702.10.10.00
8702.10.20.00
8702.90.10.00
8702.90.20.00
8703.10.10.00
8703.10.90.11
8703.10.90.19
8703.10.90.91
8703.10.90.99
8703.21.10.00
8703.21.90.00
8703.22.00.10
8703.22.00.20
8703.22.00.91
8703.22.00.92
8703.22.00.93
8703.22.00.94
8703.22.00.95
8703.23.00.11
8703.23.00.12
8703.23.00.20
8703.23.00.30
8703.23.00.41
8703.23.00.42
8703.23.00.43
8703.23.00.44
8703.23.00.45
8703.23.00.51
8703.23.00.52
8703.23.00.53
8703.23.00.54
8703.23.00.62
8703.23.00.63
8703.23.00.64
8703.24.00.10
8703.24.00.21
8703.24.00.22
8703.24.00.30
8703.24.00.40
8703.24.00.54
8703.24.00.55
8703.24.00.61
8703.24.00.62
8703.24.00.63
8703.24.00.64
8703.24.00.71
8703.24.00.72
8703.24.00.73
8703.24.00.74
8703.31.00.00
8703.32.00.11
8703.32.00.12
8703.32.00.20
8703.32.00.92
8703.32.00.93
8703.32.00.94
8703.32.00.95
8703.33.00.10
8703.33.00.21
8703.33.00.22
8703.33.00.30
8703.33.00.92
8703.33.00.93
8703.33.00.94
8703.33.00.95
8703.90.00.10
8703.90.00.90
8704.10.00.10
8704.10.00.21
8704.10.00.22
8704.10.00.23
8704.10.00.24
8704.10.00.90
8704.21.00.10
8704.21.00.20
8704.21.00.30
8704.22.00.10
8704.22.00.20
8704.22.00.30
8704.22.00.40
8704.23.00.00
8704.31.00.10
8704.31.00.20
8704.32.00.10
8704.32.00.20
8704.32.00.30
8704.32.00.40
8704.32.00.50
8704.90.00.00
8705.10.10.10
8705.10.10.90
8705.10.90.11
8705.10.90.19
8705.10.90.91
8705.10.90.99
8705.20.00.10
8705.20.00.20
8705.20.00.90
8705.30.0000
8705.40.1000
8705.40.9000
8705.90.1000
8705.90.90.10
8705.90.90.90
8706.00.10.00
8706.00.20.10
8706.00.20.20
8706.00.20.30
8706.00.90.10
8706.00.90.20
8706.00.90.30
8706.00.90.40
8706.00.90.90
8709.11.10.00
8709.11.90.10
8709.11.90.90
8709.19.10.00
8709.19.90.00
8711.10.00.00
8711.20.00.00
8711.30.00.00
8711.40.00.00
8711.50.00.00
8711.90.00.00
8716.10.00.11
8716.10.00.12
8716.10.00.21
8716.10.00.22
8716.10.00.23
8716.10.00.24
8716.10.00.31
8716.10.00.32
8716.10.00.90
8716.20.10.10
8716.20.10.20
8716.20.10.30
8716.20.90.00
8716.39.10.00
8716.39.20.11
8716.39.20.19
8716.39.20.20
8716.39.30.10
8716.39.30.20
8716.39.30.30
8716.39.30.90
8716.39.30.91
8716.39.30.99
8716.39.90.11
8716.39.90.19
8716.39.90.91
8716.39.90.99
8716.40.00.00
8716.80.10.00
8716.80.20.10
8716.80.20.90
8802.11.00.12
8802.11.00.13
8802.11.00.29
8802.12.00.19
8802.12.00.29
8802.20.00.90
8802.30.00.13
8802.30.00.14
8802.30.00.15
8802.30.00.19
8802.30.00.29
8802.40.00.14
8802.40.00.15
8802.40.00.19
8802.40.00.29
8802.60.10.00
8802.60.90.00
8901.10.00.00
8901.20.00.00
8901.30.00.00
8901.90.10.00
8901.90.90.00
8902.00.10.00
8902.00.20.00
8903.10.00.00
8903.91.00.11
8903.91.00.12
8903.91.00.21
8903.91.00.22
8903.91.00.23
8903.91.00.24
8903.92.00.11
8903.92.00.12
8903.92.00.21
8903.92.00.22
8903.92.00.23
8903.92.00.24
8903.92.00.31
8903.92.00.32
8903.92.00.90
8903.99.90.11
8903.99.90.12
8903.99.90.13
8903.99.90.14
8903.99.90.19
8903.99.90.20
8904.00.00.00
8905.10.00.00
8905.20.10.00
8905.20.20.00
8905.90.10.00
8905.90.90.00
8906.90.1100
8906.90.1900
8906.90.9000
